lambda L W U0 U1 U2 U3 L0 W0 L1 W1 L2 W2 L3 W3
0.439500 5184.346322 7988.462872 0.999438 0.334703 0.667540 1.000000 1036.710212 762.146306 0.504689 1.509012 2.003767 6.018228 4145.127654 12467.931909
0.449000 6092.432880 9355.672597 0.999666 0.334615 0.672063 0.999711 2214.486997 1614.219663 0.500767 1.497119 2.017011 5.988695 3875.428105 11745.877076
0.458500 6497.015373 9637.415426 0.999610 0.335183 0.660952 0.999896 2282.073017 1652.564232 0.504536 1.507390 1.920063 5.776386 4212.517756 12666.756597
0.468000 6753.639474 9960.936444 0.999787 0.330259 0.672213 0.999778 2359.078188 1708.855072 0.502531 1.519829 2.040456 6.119653 4392.018299 13225.149057
0.477500 7439.074792 10782.730385 0.999840 0.334637 0.663910 0.999897 3379.300497 2416.418225 0.498058 1.489454 1.993864 5.987051 4057.282373 12111.463009
0.487000 7419.398615 10565.134455 0.999953 0.335601 0.670383 0.999684 3371.958263 2400.981389 0.504841 1.517773 2.078141 6.193430 4044.857369 12120.981505
0.496500 8321.657318 11701.382816 0.999930 0.329820 0.662915 0.999739 4266.332138 3026.965549 0.496794 1.499896 1.967336 5.903333 4052.861049 12155.758051
0.506000 8405.822366 11669.366676 0.999671 0.335595 0.660712 0.999799 4389.894251 3099.996808 0.508242 1.520958 1.905433 5.726776 4013.514439 11949.870113
0.515500 9242.655774 12364.701931 0.999750 0.332181 0.661538 0.999879 5186.735704 3646.282349 0.499059 1.505872 1.966036 5.927397 4053.454975 12094.582776
0.525000 9961.545218 13346.712475 0.999882 0.335418 0.665306 0.999545 6017.462937 4177.362049 0.503466 1.504775 1.962866 5.948995 3941.615949 11708.475565
0.534500 9997.278471 12959.723790 0.999790 0.329047 0.674510 0.999746 5771.877158 3972.595316 0.487987 1.465472 2.096324 6.255456 4222.817002 12585.499827
0.544000 10448.347272 13320.398751 0.999937 0.335902 0.674232 0.999560 6254.062336 4266.136143 0.506696 1.518100 2.107146 6.285488 4191.671094 12435.137544
0.553500 10956.585860 13477.469043 0.999966 0.334602 0.670958 0.999844 6688.167275 4531.980497 0.508226 1.516504 2.071645 6.167447 4265.838715 12675.683175
0.563000 11313.429301 13941.297418 0.999998 0.332913 0.661988 0.999568 7306.914824 4928.779909 0.495875 1.480591 2.029305 6.093330 4003.989297 11968.781851
0.572500 11768.981008 14296.454229 0.999934 0.330325 0.664057 0.999868 7426.740096 4990.559138 0.492666 1.483275 1.981689 5.969541 4339.766557 12884.963321
0.582000 12575.425700 14963.464490 0.999787 0.335999 0.662695 0.999887 8303.389059 5538.867673 0.510087 1.522519 1.965726 5.922672 4269.560827 12693.658388
0.591500 12891.272418 15256.030168 0.999983 0.334987 0.679993 0.999982 8665.107434 5723.362281 0.504028 1.505830 2.112928 6.303450 4223.548027 12630.836351
0.601000 13088.615652 15284.764001 0.999742 0.337363 0.656535 0.999698 9049.420037 5941.284426 0.510929 1.526302 1.887348 5.684742 4036.797338 12107.479395
