lambda mu traffic_load total_time waiting_by_job njob_avg nq_avg
0.95 1 0.95 10000.3 17.2143 16.3873 15.4453
0.9481 1 0.9481 10000.1 16.741 15.8912 14.9511
0.9462 1 0.9462 10000.2 16.2538 15.4138 14.4755
0.9443 1 0.9443 10000.6 15.7914 14.9474 14.011
0.9424 1 0.9424 10000.4 15.3642 14.498 13.5634
0.9405 1 0.9405 10000.1 14.9671 14.0932 13.1604
0.9386 1 0.9386 10000.1 14.5894 13.7057 12.7749
0.9367 1 0.9367 10000.1 14.2318 13.3416 12.4128
0.9348 1 0.9348 10000.2 13.8934 12.9946 12.0678
0.9329 1 0.9329 10000.2 13.584 12.6791 11.754
0.931 1 0.931 10000.4 13.2762 12.3625 11.4392
0.9291 1 0.9291 10000 12.9678 12.0503 11.129
0.9272 1 0.9272 10000.1 12.6703 11.7504 10.831
0.9253 1 0.9253 10000.4 12.3935 11.4686 10.5512
0.9234 1 0.9234 10000.2 12.1151 11.1886 10.2732
0.9215 1 0.9215 10000.3 11.841 10.9136 10.0003
0.9196 1 0.9196 10000.1 11.59 10.6542 9.74257
0.9177 1 0.9177 10000.8 11.347 10.4101 9.50044
0.9158 1 0.9158 10000 11.1113 10.1664 9.25876
0.9139 1 0.9139 10000 10.87 9.92419 9.0185
0.912 1 0.912 10000.1 10.6407 9.69092 8.78722
0.9101 1 0.9101 10000.5 10.4138 9.46533 8.56362
0.9082 1 0.9082 10000 10.1868 9.23813 8.33844
0.9063 1 0.9063 10000.1 9.99786 9.0479 8.15022
0.9044 1 0.9044 10000.6 9.82124 8.87128 7.97562
0.9025 1 0.9025 10000.6 9.65215 8.70258 7.80901
0.9006 1 0.9006 10000.4 9.49715 8.54198 7.65051
0.8987 1 0.8987 10000.2 9.35156 8.38725 7.49789
0.8968 1 0.8968 10000.2 9.21072 8.24307 7.35569
0.8949 1 0.8949 10000.2 9.07057 8.09586 7.21059
0.893 1 0.893 10000 8.95587 7.96868 7.08553
0.8911 1 0.8911 10000 8.83973 7.84965 6.96862
0.8892 1 0.8892 10000.8 8.72055 7.72827 6.84913
0.8873 1 0.8873 10000.8 8.59476 7.59852 6.72149
0.8854 1 0.8854 10001.2 8.47113 7.47291 6.59799
0.8835 1 0.8835 10000 8.34838 7.34667 6.47389
0.8816 1 0.8816 10000.2 8.21989 7.21823 6.34758
0.8797 1 0.8797 10001 8.08887 7.08876 6.22024
0.8778 1 0.8778 10000.9 7.97156 6.96308 6.09671
0.8759 1 0.8759 10001.7 7.86831 6.8551 5.99088
0.874 1 0.874 10001.6 7.7743 6.75874 5.89667
0.8721 1 0.8721 10000.2 7.68559 6.66861 5.80818
0.8702 1 0.8702 10000.3 7.60504 6.57767 5.71921
0.8683 1 0.8683 10000.3 7.51746 6.48967 5.63265
0.8664 1 0.8664 10001.1 7.42374 6.39904 5.5438
0.8645 1 0.8645 10002.8 7.33047 6.30905 5.45598
0.8626 1 0.8626 10001.6 7.24098 6.22551 5.37347
0.8607 1 0.8607 10000.1 7.16212 6.14146 5.29103
0.8588 1 0.8588 10000.4 7.07423 6.05311 5.20445
0.8569 1 0.8569 10000.4 6.9788 5.95771 5.11127
0.855 1 0.855 10002.1 6.89739 5.87463 5.02949
0.8531 1 0.8531 10002 6.8151 5.79062 4.94739
