lambda mu traffic_load total_time waiting_by_job njob_avg nq_avg
0.95 1 0.95 10001.2 18.9621 18.061 17.1113
0.9481 1 0.9481 10000.1 18.4608 17.5552 16.6074
0.9462 1 0.9462 10001 18.0121 17.09 16.1443
0.9443 1 0.9443 10001.4 17.6011 16.6728 15.729
0.9424 1 0.9424 10000.8 17.2027 16.2765 15.3344
0.9405 1 0.9405 10000.1 16.8283 15.8819 14.9417
0.9386 1 0.9386 10000.2 16.4393 15.4802 14.542
0.9367 1 0.9367 10000.8 16.0385 15.0681 14.132
0.9348 1 0.9348 10001.3 15.6797 14.6997 13.7656
0.9329 1 0.9329 10000.2 15.3336 14.3442 13.4121
0.931 1 0.931 10000.1 15.0007 14.006 13.0757
0.9291 1 0.9291 10000.1 14.6698 13.6897 12.7597
0.9272 1 0.9272 10000.2 14.3587 13.3691 12.441
0.9253 1 0.9253 10000.3 14.0431 13.0527 12.1259
0.9234 1 0.9234 10000 13.7356 12.7462 11.821
0.9215 1 0.9215 10000 13.4501 12.4539 11.5307
0.9196 1 0.9196 10000.2 13.1692 12.1695 11.2484
0.9177 1 0.9177 10000.2 12.9388 11.9296 11.0106
0.9158 1 0.9158 10000.7 12.696 11.6853 10.7683
0.9139 1 0.9139 10000.5 12.4582 11.4451 10.5302
0.912 1 0.912 10000.5 12.2385 11.221 10.308
0.9101 1 0.9101 10000 12.0243 11.0052 10.094
0.9082 1 0.9082 10000.6 11.8049 10.7853 9.87619
0.9063 1 0.9063 10000 11.5958 10.5755 9.66849
0.9044 1 0.9044 10000.3 11.3896 10.371 9.46514
0.9025 1 0.9025 10001 11.1992 10.1714 9.26675
0.9006 1 0.9006 10000 11.0035 9.97625 9.07338
0.8987 1 0.8987 10000 10.7946 9.76783 8.86706
0.8968 1 0.8968 10000.9 10.5851 9.55519 8.65653
0.8949 1 0.8949 10000.6 10.396 9.3612 8.46432
0.893 1 0.893 10000.3 10.2126 9.17256 8.27764
0.8911 1 0.8911 10000.7 10.0259 8.98055 8.08774
0.8892 1 0.8892 10000.3 9.84281 8.79995 7.90927
0.8873 1 0.8873 10000.2 9.66656 8.62102 7.73247
0.8854 1 0.8854 10001.3 9.50038 8.45221 7.56553
0.8835 1 0.8835 10000.5 9.3212 8.27749 7.39295
0.8816 1 0.8816 10000.6 9.13817 8.09673 7.21433
0.8797 1 0.8797 10000.4 8.97281 7.9286 7.04834
0.8778 1 0.8778 10000.5 8.80504 7.76017 6.88207
0.8759 1 0.8759 10002.8 8.6445 7.60072 6.72472
0.874 1 0.874 10000.1 8.49686 7.45197 6.57729
0.8721 1 0.8721 10000.8 8.34658 7.30231 6.42941
0.8702 1 0.8702 10000.3 8.20366 7.16652 6.29501
0.8683 1 0.8683 10000.7 8.06536 7.03812 6.16756
0.8664 1 0.8664 10000.4 7.9297 6.90499 6.03634
0.8645 1 0.8645 10001 7.77095 6.76008 5.8936
0.8626 1 0.8626 10000.7 7.6396 6.62048 5.7562
0.8607 1 0.8607 10000.2 7.5258 6.5038 5.64172
0.8588 1 0.8588 10000.8 7.42846 6.40729 5.54704
0.8569 1 0.8569 10002.5 7.33736 6.31591 5.45737
0.855 1 0.855 10000 7.24797 6.22887 5.37153
0.8531 1 0.8531 10000.1 7.16479 6.14663 5.29008
0.8512 1 0.8512 10000.5 7.07997 6.05895 5.2045
0.8493 1 0.8493 10000.1 6.99683 5.97641 5.12383
0.8474 1 0.8474 10000.5 6.91182 5.88958 5.03898
0.8455 1 0.8455 10000.5 6.83431 5.81092 4.96218
0.8436 1 0.8436 10000.4 6.76353 5.73729 4.88962
0.8417 1 0.8417 10003.8 6.6917 5.66303 4.81679
0.8398 1 0.8398 10000.8 6.62295 5.59311 4.74865
0.8379 1 0.8379 10000 6.55335 5.51794 4.67576
0.836 1 0.836 10000 6.48525 5.44967 4.60891
0.8341 1 0.8341 10000.6 6.4182 5.38325 4.54357
0.8322 1 0.8322 10000.7 6.35018 5.31789 4.47924
0.8303 1 0.8303 10001.5 6.2843 5.24885 4.41193
0.8284 1 0.8284 10000.3 6.21677 5.1803 4.34551
0.8265 1 0.8265 10000.3 6.14821 5.11277 4.27999
0.8246 1 0.8246 10000.5 6.08557 5.05137 4.21972
0.8227 1 0.8227 10002.9 6.02541 4.98914 4.15899
0.8208 1 0.8208 10003.4 5.95784 4.92247 4.09463
0.8189 1 0.8189 10000.3 5.89165 4.85809 4.03223
0.817 1 0.817 10000.2 5.8293 4.79573 3.97173
0.8151 1 0.8151 10000.5 5.76041 4.73333 3.91109
0.8132 1 0.8132 10000 5.68936 4.66213 3.84223
0.8113 1 0.8113 10000.1 5.62983 4.6002 3.78235
0.8094 1 0.8094 10000.8 5.57981 4.54628 3.73005
0.8075 1 0.8075 10000.5 5.52692 4.49484 3.67975
0.8056 1 0.8056 10000.1 5.47769 4.44517 3.63114
0.8037 1 0.8037 10001.9 5.42046 4.38919 3.57704
0.8018 1 0.8018 10000 5.37176 4.33862 3.52786
0.7999 1 0.7999 10000.4 5.3174 4.28275 3.47434
0.798 1 0.798 10001 5.26004 4.22551 3.41946
0.7961 1 0.7961 10001.8 5.21185 4.17395 3.36991
0.7942 1 0.7942 10000.7 5.16667 4.13 3.32722
0.7923 1 0.7923 10000.7 5.12372 4.08435 3.28354
0.7904 1 0.7904 10001.3 5.0611 4.02847 3.22991
0.7885 1 0.7885 10000.3 4.98298 3.96178 3.16563
0.7866 1 0.7866 10000.3 4.93104 3.9033 3.10955
0.7847 1 0.7847 10000.2 4.88002 3.84927 3.05794
0.7828 1 0.7828 10000.5 4.83613 3.80538 3.01602
0.7809 1 0.7809 10000 4.78538 3.75738 2.97044
0.779 1 0.779 10001.5 4.7334 3.70714 2.92258
0.7771 1 0.7771 10001.4 4.66353 3.65046 2.86834
0.7752 1 0.7752 10000 4.61098 3.58887 2.80922
0.7733 1 0.7733 10000 4.57355 3.55243 2.77407
0.7714 1 0.7714 10000.5 4.5359 3.51594 2.73938
0.7695 1 0.7695 10000.1 4.49029 3.47219 2.6981
0.7676 1 0.7676 10001.1 4.45218 3.43381 2.66177
0.7657 1 0.7657 10000.3 4.41602 3.39953 2.62959
0.7638 1 0.7638 10000 4.3786 3.36116 2.59355
0.7619 1 0.7619 10003 4.34444 3.32553 2.56016
0.76 1 0.76 10000.1 4.3123 3.29642 2.53174
0.7581 1 0.7581 10001.4 4.28099 3.26424 2.50129
0.7562 1 0.7562 10000.8 4.24898 3.23187 2.47043
0.7543 1 0.7543 10000.4 4.21745 3.20177 2.4415
0.7524 1 0.7524 10000.9 4.18647 3.17039 2.41152
0.7505 1 0.7505 10003.5 4.15264 3.13956 2.38216
0.7486 1 0.7486 10000.2 4.12189 3.1091 2.35335
0.7467 1 0.7467 10000.7 4.08988 3.07416 2.32059
0.7448 1 0.7448 10000.7 4.09791 3.08262 2.32964
0.7429 1 0.7429 10004 4.06514 3.05048 2.29958
0.741 1 0.741 10001.4 4.03289 3.02266 2.27245
0.7391 1 0.7391 10000.2 3.99928 2.99339 2.24479
0.7372 1 0.7372 10000.4 3.9704 2.9626 2.21622
0.7353 1 0.7353 10000.4 3.93993 2.93431 2.18919
0.7334 1 0.7334 10000.5 3.90702 2.90102 2.15774
0.7315 1 0.7315 10000.6 3.87534 2.8689 2.12804
0.7296 1 0.7296 10000.4 3.84735 2.83952 2.10048
0.7277 1 0.7277 10000.2 3.81917 2.8128 2.07527
0.7258 1 0.7258 10000.3 3.79142 2.78548 2.04972
0.7239 1 0.7239 10001.5 3.76302 2.75751 2.02354
0.722 1 0.722 10000.8 3.73575 2.72987 1.99751
0.7201 1 0.7201 10000.7 3.70552 2.70077 1.97059
0.7182 1 0.7182 10000.9 3.68139 2.67539 1.94672
0.7163 1 0.7163 10002 3.65198 2.64925 1.92226
0.7144 1 0.7144 10004.6 3.62207 2.62082 1.89583
0.7125 1 0.7125 10000.4 3.5972 2.59707 1.87318
0.7106 1 0.7106 10002.6 3.57055 2.57112 1.84937
0.7087 1 0.7087 10000.4 3.54944 2.54909 1.82883
0.7068 1 0.7068 10000 3.5217 2.52159 1.80378
0.7049 1 0.7049 10000.2 3.49663 2.49691 1.78135
0.703 1 0.703 10001.3 3.47629 2.47618 1.76216
0.7011 1 0.7011 10000.2 3.45624 2.45666 1.74381
0.6992 1 0.6992 10000.2 3.43366 2.43544 1.72427
0.6973 1 0.6973 10001.1 3.41166 2.41262 1.70361
0.6954 1 0.6954 10000.5 3.38908 2.38952 1.68304
0.6935 1 0.6935 10000.2 3.36285 2.36606 1.66143
0.6916 1 0.6916 10000.1 3.34383 2.34606 1.64358
0.6897 1 0.6897 10002.3 3.31978 2.3238 1.62357
0.6878 1 0.6878 10001.5 3.30208 2.30473 1.60653
0.6859 1 0.6859 10000.5 3.28779 2.28627 1.59002
0.684 1 0.684 10001.1 3.27033 2.26838 1.57414
0.6821 1 0.6821 10000.6 3.25348 2.25225 1.55944
0.6802 1 0.6802 10000.3 3.23395 2.23075 1.54029
0.6783 1 0.6783 10000.4 3.20488 2.20398 1.51614
0.6764 1 0.6764 10000.4 3.18921 2.1863 1.50034
0.6745 1 0.6745 10001.5 3.17313 2.17009 1.48556
0.6726 1 0.6726 10000.6 3.15551 2.15225 1.46974
0.6707 1 0.6707 10000.3 3.13903 2.13574 1.4548
0.6688 1 0.6688 10000.2 3.12394 2.12081 1.4411
0.6669 1 0.6669 10000.8 3.10603 2.10183 1.42472
0.665 1 0.665 10000.4 3.07359 2.07335 1.3991
0.6631 1 0.6631 10000.9 3.05973 2.05649 1.38403
0.6612 1 0.6612 10000.6 3.04551 2.04129 1.3706
0.6593 1 0.6593 10001.4 3.02784 2.02495 1.35594
0.6574 1 0.6574 10000.7 3.00391 2.00677 1.33973
0.6555 1 0.6555 10000.3 2.96012 1.96634 1.3022
0.6536 1 0.6536 10001.6 2.94825 1.95054 1.28823
0.6517 1 0.6517 10001.6 2.93796 1.93582 1.27541
0.6498 1 0.6498 10000.5 2.92505 1.92358 1.26415
