lambda mu traffic_load total_time waiting_by_job njob_avg nq_avg
0.95 1 0.95 10000.1 17.7605 16.775 15.8303
0.9481 1 0.9481 10001.3 17.1932 16.2061 15.2634
0.9462 1 0.9462 10000 16.6574 15.68 14.7388
0.9443 1 0.9443 10000.4 16.1513 15.1789 14.2397
0.9424 1 0.9424 10000.1 15.662 14.6863 13.7491
0.9405 1 0.9405 10002.2 15.2087 14.2306 13.2954
0.9386 1 0.9386 10000.8 14.7782 13.8114 12.8778
0.9367 1 0.9367 10000.8 14.3846 13.4227 12.4911
0.9348 1 0.9348 10000 14.0316 13.069 12.1391
0.9329 1 0.9329 10000.1 13.6733 12.7102 11.7823
0.931 1 0.931 10000.2 13.3118 12.3506 11.4247
0.9291 1 0.9291 10000 12.934 11.9896 11.0657
0.9272 1 0.9272 10000.1 12.5743 11.6319 10.71
0.9253 1 0.9253 10000.7 12.2098 11.2695 10.3497
0.9234 1 0.9234 10000.1 11.8557 10.9205 10.0027
0.9215 1 0.9215 10000.1 11.5167 10.581 9.66522
0.9196 1 0.9196 10000.2 11.187 10.252 9.33831
0.9177 1 0.9177 10000.4 10.9175 9.98322 9.07156
0.9158 1 0.9158 10000.2 10.7109 9.77625 8.86665
0.9139 1 0.9139 10000.2 10.5179 9.57976 8.67216
0.912 1 0.912 10000.3 10.3277 9.39228 8.48602
0.9101 1 0.9101 10001.4 10.1611 9.22491 8.32067
0.9082 1 0.9082 10000.2 10.0067 9.06786 8.16492
0.9063 1 0.9063 10000 9.85471 8.91061 8.00949
0.9044 1 0.9044 10000.2 9.69773 8.74836 7.84932
0.9025 1 0.9025 10000.9 9.54701 8.58742 7.69047
0.9006 1 0.9006 10000.9 9.39768 8.4341 7.53925
0.8987 1 0.8987 10000.2 9.25529 8.28847 7.39542
0.8968 1 0.8968 10000.2 9.1057 8.14289 7.25192
0.8949 1 0.8949 10000.1 8.95283 7.98492 7.09605
0.893 1 0.893 10000.6 8.79063 7.825 6.93823
0.8911 1 0.8911 10000.6 8.64833 7.68078 6.79613
0.8892 1 0.8892 10000.8 8.52122 7.54758 6.66505
0.8873 1 0.8873 10001.3 8.38728 7.41114 6.53074
0.8854 1 0.8854 10000 8.26346 7.28477 6.40635
0.8835 1 0.8835 10000.3 8.13922 7.16311 6.28615
0.8816 1 0.8816 10000.3 8.02885 7.04776 6.17196
0.8797 1 0.8797 10001.8 7.92071 6.93752 6.06358
0.8778 1 0.8778 10000.1 7.80563 6.81963 5.94787
0.8759 1 0.8759 10002 7.69048 6.70319 5.83356
0.874 1 0.874 10000.2 7.58176 6.58693 5.71949
0.8721 1 0.8721 10000.6 7.46849 6.4776 5.61205
0.8702 1 0.8702 10000.6 7.34763 6.36029 5.49691
0.8683 1 0.8683 10000 7.22671 6.23652 5.37533
0.8664 1 0.8664 10000.2 7.13041 6.13992 5.28028
0.8645 1 0.8645 10000.8 7.05034 6.06059 5.20233
0.8626 1 0.8626 10000.2 6.96718 5.97844 5.12233
0.8607 1 0.8607 10000.2 6.89209 5.90187 5.0473
0.8588 1 0.8588 10000.6 6.82416 5.8303 4.97746
0.8569 1 0.8569 10000.2 6.16933 5.31337 4.46706
0.855 1 0.855 10000.1 6.10219 5.24507 4.4007
0.8531 1 0.8531 10000.5 6.03857 5.17753 4.33508
0.8512 1 0.8512 10000.1 5.97743 5.11187 4.27131
0.8493 1 0.8493 10000.4 5.91037 5.04486 4.20644
0.8474 1 0.8474 10000.8 5.85252 4.98592 4.14929
0.8455 1 0.8455 10000.3 5.79452 4.92924 4.09369
0.8436 1 0.8436 10001 5.73729 4.87336 4.03849
0.8417 1 0.8417 10000.1 5.67625 4.81117 3.97845
0.8398 1 0.8398 10001.3 5.60237 4.74209 3.91159
0.8379 1 0.8379 10000.3 5.5363 4.67263 3.84439
0.836 1 0.836 10001.2 5.47099 4.6068 3.7808
0.8341 1 0.8341 10000.3 5.40251 4.53586 3.71214
0.8322 1 0.8322 10000.1 5.33913 4.46797 3.64654
0.8303 1 0.8303 10000.7 5.29286 4.42127 3.60145
0.8284 1 0.8284 10000.5 5.24928 4.37662 3.55786
0.8265 1 0.8265 10000.2 5.20565 4.33123 3.51356
0.8246 1 0.8246 10001.2 5.15205 4.27594 3.46053
0.8227 1 0.8227 10001.2 5.09706 4.22261 3.4095
0.8208 1 0.8208 10000.4 5.05515 4.17483 3.36404
0.8189 1 0.8189 10000.2 4.99849 4.12032 3.31181
0.817 1 0.817 10001.1 4.94613 4.06181 3.2556
