lambda mu traffic_load total_time waiting_by_job njob_avg nq_avg
0.95 1 0.95 10000.5 13.8978 12.9816 12.0443
0.9481 1 0.9481 10001.1 13.6063 12.6877 11.7524
0.9462 1 0.9462 10000.3 13.3195 12.4053 11.4718
0.9443 1 0.9443 10000.3 13.0188 12.1143 11.1828
0.9424 1 0.9424 10000.7 12.7306 11.8201 10.8905
0.9405 1 0.9405 10000.5 12.4608 11.5344 10.6067
0.9386 1 0.9386 10001.2 12.1901 11.2646 10.3389
0.9367 1 0.9367 10000.8 11.9201 11.0021 10.0783
0.9348 1 0.9348 10000.1 11.6702 10.7459 9.82411
0.9329 1 0.9329 10000.6 11.4421 10.5001 9.58025
0.931 1 0.931 10000.3 11.2269 10.2763 9.35838
0.9291 1 0.9291 10001.4 11.0121 10.0649 9.14898
0.9272 1 0.9272 10000 10.795 9.85034 8.93638
0.9253 1 0.9253 10000.2 10.5729 9.63883 8.72687
0.9234 1 0.9234 10000 10.3578 9.42987 8.51993
0.9215 1 0.9215 10000 10.1716 9.22934 8.32143
0.9196 1 0.9196 10000 9.99917 9.04761 8.14173
0.9177 1 0.9177 10000.2 9.80436 8.86938 7.96554
0.9158 1 0.9158 10000.5 9.62127 8.6871 7.7853
0.9139 1 0.9139 10000.3 9.44618 8.50511 7.60537
0.912 1 0.912 10000 9.29432 8.33637 7.43871
0.9101 1 0.9101 10000.9 9.15766 8.17911 7.28351
0.9082 1 0.9082 10000 9.03163 8.04675 7.15325
0.9063 1 0.9063 10000.4 8.91872 7.93012 7.03855
0.9044 1 0.9044 10000.1 8.80348 7.81159 6.92212
0.9025 1 0.9025 10002 8.69587 7.69829 6.81084
0.9006 1 0.9006 10000.6 10.7963 9.79344 8.87881
0.8987 1 0.8987 10000.5 10.616 9.61032 8.69774
0.8968 1 0.8968 10000.2 10.4262 9.42075 8.51025
0.8949 1 0.8949 10000.2 10.2434 9.23914 8.33071
0.893 1 0.893 10000.9 10.0587 9.05553 8.14918
0.8911 1 0.8911 10000.2 9.85839 8.87343 7.96918
0.8892 1 0.8892 10001.1 9.66064 8.67894 7.77678
0.8873 1 0.8873 10000.2 9.48099 8.49311 7.59307
0.8854 1 0.8854 10000.2 9.31702 8.30906 7.41114
0.8835 1 0.8835 10001.3 9.16166 8.1501 7.25429
0.8816 1 0.8816 10000 9.01186 7.99472 7.10107
0.8797 1 0.8797 10000.1 8.86561 7.84571 6.9542
0.8778 1 0.8778 10000.2 8.72465 7.707 6.81765
