lambda mu traffic_load total_time waiting_by_job njob_avg nq_avg
0.95 1 0.95 10000.1 27.7359 27.0002 26.0485
0.9481 1 0.9481 10000.4 26.2362 25.5009 24.5509
0.9462 1 0.9462 10000.4 24.7645 24.0383 23.0901
0.9443 1 0.9443 10000.2 23.7437 22.9889 22.0425
0.9424 1 0.9424 10000.4 22.7339 21.997 21.0524
0.9405 1 0.9405 10000.3 21.7952 21.038 20.0952
0.9386 1 0.9386 10001 20.9065 20.1029 19.1619
0.9367 1 0.9367 10000.2 20.0808 19.224 18.2849
0.9348 1 0.9348 10000.2 19.365 18.4774 17.54
0.9329 1 0.9329 10000.5 18.8299 17.9039 16.9684
0.931 1 0.931 10000.7 18.2958 17.3545 16.4208
0.9291 1 0.9291 10001.2 17.7969 16.8203 15.8884
0.9272 1 0.9272 10000.3 17.3076 16.2973 15.3673
0.9253 1 0.9253 10000.1 16.8008 15.7946 14.8665
0.9234 1 0.9234 10000.3 16.3554 15.315 14.3887
0.9215 1 0.9215 10000.1 15.9039 14.8539 13.9295
0.9196 1 0.9196 10000.3 15.4638 14.4059 13.4834
0.9177 1 0.9177 10000.3 15.0262 13.9705 13.0499
0.9158 1 0.9158 10000.6 14.6389 13.5661 12.6473
0.9139 1 0.9139 10000.3 14.2604 13.1765 12.2596
0.912 1 0.912 10000.4 13.887 12.804 11.8891
0.9101 1 0.9101 10000.1 13.5285 12.4591 11.5461
0.9082 1 0.9082 10000.4 13.228 12.1494 11.2384
0.9063 1 0.9063 10000.8 12.9357 11.8515 10.9424
0.9044 1 0.9044 10000 12.6587 11.5816 10.6745
0.9025 1 0.9025 10000.6 12.389 11.3073 10.4022
0.9006 1 0.9006 10000.1 12.1311 11.0454 10.1423
0.8987 1 0.8987 10000.1 11.8723 10.7869 9.88595
0.8968 1 0.8968 10000.2 11.612 10.5307 9.63178
0.8949 1 0.8949 10001.2 11.3408 10.2742 9.37735
0.893 1 0.893 10000.1 11.0582 9.99635 9.10161
0.8911 1 0.8911 10000.3 10.8135 9.73398 8.84134
0.8892 1 0.8892 10000.2 10.5575 9.48321 8.59268
0.8873 1 0.8873 10000.1 10.3181 9.24192 8.3535
0.8854 1 0.8854 10000.6 10.0874 9.00663 8.12033
0.8835 1 0.8835 10000.1 9.87041 8.78587 7.90171
0.8816 1 0.8816 10000.3 9.66356 8.57998 7.69796
0.8797 1 0.8797 10001.1 9.44912 8.37162 7.49174
0.8778 1 0.8778 10001.4 9.25548 8.1793 7.30151
0.8759 1 0.8759 10000.9 9.06878 7.99604 7.1202
0.874 1 0.874 10001.2 8.86916 7.80619 6.9325
0.8721 1 0.8721 10000.4 8.67998 7.61907 6.74756
0.8702 1 0.8702 10001.1 8.49972 7.44192 6.57258
0.8683 1 0.8683 10000.9 8.33634 7.28461 6.41739
0.8664 1 0.8664 10000.8 8.17981 7.13641 6.27038
0.8645 1 0.8645 10000.2 8.01181 6.97814 6.11429
0.8626 1 0.8626 10000.3 7.85461 6.81753 5.95585
0.8607 1 0.8607 10000.5 7.71411 6.6764 5.81691
0.8588 1 0.8588 10000.8 7.5533 6.53141 5.67411
0.8569 1 0.8569 10000.1 7.38708 6.37532 5.52024
0.855 1 0.855 10002.1 7.24224 6.22701 5.37411
0.8531 1 0.8531 10000.2 7.12741 6.11637 5.26518
0.8512 1 0.8512 10001.6 7.0353 6.0215 5.17252
0.8493 1 0.8493 10000.2 6.94566 5.93341 5.08644
0.8474 1 0.8474 10000.1 6.83456 5.82417 4.97941
0.8455 1 0.8455 10000.8 6.74192 5.72898 4.88644
0.8436 1 0.8436 10000.3 6.66156 5.64551 4.80521
0.8417 1 0.8417 10000.3 6.57894 5.56142 4.72337
0.8398 1 0.8398 10000.4 6.50694 5.48833 4.65253
0.8379 1 0.8379 10000.9 6.44247 5.42214 4.58804
0.836 1 0.836 10001.1 6.37908 5.35914 4.52616
0.8341 1 0.8341 10000.4 6.31334 5.2939 4.46219
0.8322 1 0.8322 10000.4 6.23191 5.21554 4.3861
0.8303 1 0.8303 10003.2 6.16168 5.14456 4.31717
0.8284 1 0.8284 10000.4 6.09945 5.08437 4.25843
0.8265 1 0.8265 10000.4 6.02859 5.01442 4.19077
0.8246 1 0.8246 10000.3 5.94446 4.93621 4.11485
0.8227 1 0.8227 10000.1 5.8674 4.85572 4.03666
0.8208 1 0.8208 10001 5.80536 4.79419 3.97681
0.8189 1 0.8189 10000.8 5.74858 4.73624 3.92051
0.817 1 0.817 10000.8 5.67793 4.66851 3.85477
0.8151 1 0.8151 10000 5.60223 4.59384 3.78243
0.8132 1 0.8132 10000.3 5.53096 4.52775 3.71865
0.8113 1 0.8113 10000.3 5.46325 4.4587 3.65194
0.8094 1 0.8094 10000.5 5.41133 4.40803 3.60308
0.8075 1 0.8075 10000.8 5.35904 4.35557 3.55269
0.8056 1 0.8056 10000 5.30831 4.30389 3.50302
0.8037 1 0.8037 10000.5 5.2547 4.24891 3.45039
0.8018 1 0.8018 10000.4 5.21068 4.20224 3.40521
0.7999 1 0.7999 10000.1 5.16589 4.15645 3.36079
0.798 1 0.798 10001.6 5.11797 4.11266 3.31783
0.7961 1 0.7961 10000 5.07714 4.06981 3.27638
0.7942 1 0.7942 10000.8 5.03546 4.02671 3.23465
0.7923 1 0.7923 10000 4.9941 3.98231 3.19203
0.7904 1 0.7904 10000.2 4.95069 3.93841 3.14992
0.7885 1 0.7885 10001.6 4.90399 3.89316 3.10623
0.7866 1 0.7866 10000.6 4.86346 3.85359 3.06829
0.7847 1 0.7847 10000.8 4.8242 3.81273 3.02966
0.7828 1 0.7828 10000.3 4.78089 3.77264 2.99131
0.7809 1 0.7809 10000.8 4.7422 3.73417 2.95427
0.779 1 0.779 10000.2 4.69211 3.68537 2.90779
0.7771 1 0.7771 10000.8 4.64295 3.63374 2.85858
0.7752 1 0.7752 10000.9 4.60665 3.59885 2.82526
0.7733 1 0.7733 10000.6 4.57015 3.56275 2.79075
0.7714 1 0.7714 10000.4 4.53879 3.52967 2.75892
0.7695 1 0.7695 10000.9 4.50411 3.49516 2.72636
0.7676 1 0.7676 10000.3 4.47345 3.46299 2.69525
0.7657 1 0.7657 10000.6 4.43919 3.42728 2.66157
0.7638 1 0.7638 10001.4 4.40593 3.39472 2.63064
0.7619 1 0.7619 10000.6 4.37294 3.35997 2.59769
0.76 1 0.76 10000.7 4.3368 3.32436 2.56413
0.7581 1 0.7581 10001 4.29511 3.28412 2.52608
0.7562 1 0.7562 10001 4.26332 3.25308 2.49637
0.7543 1 0.7543 10002.5 4.23167 3.22246 2.46698
0.7524 1 0.7524 10000.7 4.19905 3.18978 2.43619
0.7505 1 0.7505 10000.6 4.14814 3.14486 2.39379
0.7486 1 0.7486 10001.3 4.10447 3.09723 2.34844
0.7467 1 0.7467 10000.6 4.07391 3.06808 2.32049
0.7448 1 0.7448 10000 4.03791 3.03224 2.28697
0.7429 1 0.7429 10000.2 4.00564 2.9992 2.25584
0.741 1 0.741 10000.2 3.97661 2.97205 2.22985
0.7391 1 0.7391 10000.5 3.94784 2.94258 2.20208
0.7372 1 0.7372 10000.4 3.92256 2.91197 2.17347
0.7353 1 0.7353 10001.1 3.89313 2.88257 2.14613
0.7334 1 0.7334 10000.4 3.86396 2.8569 2.12189
0.7315 1 0.7315 10001.4 3.83863 2.83252 2.09856
0.7296 1 0.7296 10000.2 3.80961 2.80379 2.07164
0.7277 1 0.7277 10000 3.78359 2.7761 2.04594
0.7258 1 0.7258 10001.6 3.75624 2.7514 2.02291
0.7239 1 0.7239 10002.4 3.72804 2.72398 1.99772
0.722 1 0.722 10001.3 3.69919 2.69413 1.97041
0.7201 1 0.7201 10000.9 3.67263 2.66728 1.94552
0.7182 1 0.7182 10000.7 3.64499 2.63843 1.91896
0.7163 1 0.7163 10000.2 3.62508 2.61726 1.89901
0.7144 1 0.7144 10000.1 3.59443 2.58718 1.87124
0.7125 1 0.7125 10000.3 3.73044 2.66747 1.9479
0.7106 1 0.7106 10001.4 3.70319 2.64169 1.92407
0.7087 1 0.7087 10000.5 3.67693 2.61564 1.8999
0.7068 1 0.7068 10002.4 3.65265 2.59167 1.8777
0.7049 1 0.7049 10001.5 3.62781 2.56882 1.85596
0.703 1 0.703 10000 3.6052 2.54743 1.83533
0.7011 1 0.7011 10000.9 3.57948 2.52581 1.81455
0.6992 1 0.6992 10000 3.55638 2.50303 1.79324
0.6973 1 0.6973 10000.4 3.53366 2.47947 1.77139
0.6954 1 0.6954 10000.2 3.51016 2.45591 1.75048
0.6935 1 0.6935 10000.6 3.48312 2.42794 1.72503
0.6916 1 0.6916 10002.2 3.46313 2.40497 1.7044
0.6897 1 0.6897 10000.2 3.44561 2.38651 1.68777
0.6878 1 0.6878 10002.3 3.42665 2.36707 1.67031
0.6859 1 0.6859 10000.5 3.4001 2.34588 1.6509
0.684 1 0.684 10000 3.3752 2.31977 1.62758
0.6821 1 0.6821 10000.8 3.35226 2.29787 1.60751
0.6802 1 0.6802 10003.2 3.33566 2.27853 1.59051
0.6783 1 0.6783 10000.4 3.31898 2.26234 1.57566
0.6764 1 0.6764 10000.1 3.30366 2.24519 1.56053
0.6745 1 0.6745 10001.2 3.2883 2.22953 1.54607
0.6726 1 0.6726 10000.4 3.27544 2.21379 1.53174
0.6707 1 0.6707 10000 3.26097 2.19886 1.51772
0.6688 1 0.6688 10000 3.24489 2.18282 1.50366
0.6669 1 0.6669 10000.7 3.22956 2.16753 1.48973
0.665 1 0.665 10000.6 3.21351 2.15334 1.47598
0.6631 1 0.6631 10001.2 3.19823 2.13564 1.46059
0.6612 1 0.6612 10000.1 3.18277 2.11907 1.44617
0.6593 1 0.6593 10001.2 3.16398 2.10063 1.42964
0.6574 1 0.6574 10000.1 3.13547 2.07516 1.4069
0.6555 1 0.6555 10001.9 3.11887 2.05775 1.39166
0.6536 1 0.6536 10000.1 3.10173 2.03919 1.37525
0.6517 1 0.6517 10001.7 3.07374 2.01457 1.35306
0.6498 1 0.6498 10000.5 3.05051 1.99303 1.334
0.6479 1 0.6479 10000.3 3.02663 1.97028 1.31368
0.646 1 0.646 10000.9 3.0124 1.95607 1.30072
0.6441 1 0.6441 10000.5 2.98771 1.93332 1.28078
0.6422 1 0.6422 10004.6 2.97084 1.9165 1.26605
0.6403 1 0.6403 10000.4 2.95715 1.90202 1.25315
0.6384 1 0.6384 10001.1 2.93871 1.88574 1.23876
0.6365 1 0.6365 10000.8 2.92263 1.86858 1.22435
0.6346 1 0.6346 10000 2.90283 1.85084 1.20889
0.6327 1 0.6327 10002.5 2.88609 1.8348 1.19493
0.6308 1 0.6308 10000.7 2.87285 1.8225 1.18347
0.6289 1 0.6289 10000 2.85532 1.80592 1.16953
0.627 1 0.627 10002 2.84192 1.79262 1.15772
0.6251 1 0.6251 10000.9 2.78853 1.76001 1.12808
0.6232 1 0.6232 10000.2 2.74847 1.72009 1.09122
0.6213 1 0.6213 10000.6 2.73568 1.70641 1.07932
0.6194 1 0.6194 10000 2.70596 1.68495 1.06034
0.6175 1 0.6175 10001 2.69 1.66852 1.04651
0.6156 1 0.6156 10000.5 2.67018 1.64849 1.02922
0.6137 1 0.6137 10000.3 2.6575 1.6375 1.01946
0.6118 1 0.6118 10000.3 2.62886 1.61808 1.00233
0.6099 1 0.6099 10000.3 2.60234 1.59174 0.978235
0.608 1 0.608 10000.7 2.58904 1.57765 0.966207
0.6061 1 0.6061 10000.2 2.56927 1.56475 0.955007
0.6042 1 0.6042 10000.6 2.5518 1.54501 0.937578
0.6023 1 0.6023 10000.9 2.54094 1.53307 0.927345
0.6004 1 0.6004 10000.8 2.52853 1.52033 0.916484
0.5985 1 0.5985 10001.3 2.51739 1.50872 0.906657
0.5966 1 0.5966 10000.1 2.50519 1.49784 0.897137
0.5947 1 0.5947 10003.4 2.49351 1.48811 0.888643
0.5928 1 0.5928 10000.2 2.48102 1.477 0.879212
0.5909 1 0.5909 10000.4 2.47149 1.46595 0.870184
0.589 1 0.589 10006.1 2.46031 1.45415 0.860233
0.5871 1 0.5871 10000 2.45309 1.44511 0.852391
0.5852 1 0.5852 10004.6 2.43185 1.42683 0.837074
0.5833 1 0.5833 10001.2 2.41551 1.4117 0.824056
0.5814 1 0.5814 10000.5 2.40363 1.4014 0.81539
0.5795 1 0.5795 10001.2 2.39615 1.39296 0.808355
0.5776 1 0.5776 10001.6 2.38867 1.3852 0.801584
0.5757 1 0.5757 10000 2.38306 1.37717 0.794759
0.5738 1 0.5738 10000.9 2.36546 1.36023 0.780493
