lambda mu traffic_load total_time waiting_by_job njob_avg nq_avg
0.95 1 0.95 10000.3 16.6389 15.9598 15.0184
0.9481 1 0.9481 10000.8 16.2979 15.6009 14.6608
0.9462 1 0.9462 10000.1 15.965 15.2469 14.3082
0.9443 1 0.9443 10000.9 15.6229 14.893 13.956
0.9424 1 0.9424 10000.9 15.2892 14.5452 13.6101
0.9405 1 0.9405 10001.1 14.9831 14.2234 13.2902
0.9386 1 0.9386 10001.3 14.6999 13.9352 13.003
0.9367 1 0.9367 10000.7 14.4373 13.661 12.7302
0.9348 1 0.9348 10000.2 14.1771 13.3889 12.4599
0.9329 1 0.9329 10000.4 13.9138 13.1156 12.1886
0.931 1 0.931 10000.8 13.6589 12.8507 11.9256
0.9291 1 0.9291 10001.6 13.4026 12.5887 11.6649
0.9272 1 0.9272 10000.5 13.1484 12.3339 11.4112
0.9253 1 0.9253 10000.5 12.9048 12.0787 11.1577
0.9234 1 0.9234 10000.3 12.6502 11.8146 10.8957
0.9215 1 0.9215 10000.4 12.4057 11.5634 10.6465
0.9196 1 0.9196 10000.2 12.1716 11.3219 10.4067
0.9177 1 0.9177 10000 11.9574 11.0905 10.1773
0.9158 1 0.9158 10000.3 11.7392 10.867 9.95547
0.9139 1 0.9139 10000.4 11.5246 10.6423 9.73283
0.912 1 0.912 10001.7 11.3092 10.4216 9.51364
0.9101 1 0.9101 10000.4 11.0901 10.2058 9.29876
0.9082 1 0.9082 10000.4 10.8695 9.98872 9.08328
0.9063 1 0.9063 10000.2 10.6621 9.77708 8.87303
0.9044 1 0.9044 10000 10.4497 9.56803 8.66549
0.9025 1 0.9025 10000 10.2362 9.36098 8.45956
0.9006 1 0.9006 10000 10.0377 9.16032 8.26034
0.8987 1 0.8987 10001.1 9.84602 8.96878 8.06986
0.8968 1 0.8968 10001.5 9.65017 8.7776 7.88031
0.8949 1 0.8949 10000.6 9.44493 8.57301 7.67784
0.893 1 0.893 10000.1 9.26477 8.39105 7.49767
0.8911 1 0.8911 10000.4 9.0993 8.21975 7.32828
0.8892 1 0.8892 10000.1 8.91126 8.03677 7.14742
0.8873 1 0.8873 10000.5 8.72739 7.8483 6.96108
0.8854 1 0.8854 10000.5 8.55871 7.67243 6.78734
0.8835 1 0.8835 10000.4 8.42592 7.53965 6.65583
0.8816 1 0.8816 10000.9 8.29603 7.41266 6.53081
0.8797 1 0.8797 10000.5 8.17699 7.28977 6.40978
0.8778 1 0.8778 10001 8.05453 7.16557 6.2875
0.8759 1 0.8759 10000.8 7.93531 7.04998 6.17249
0.874 1 0.874 10000.2 7.81793 6.93512 6.05908
0.8721 1 0.8721 10000.6 7.70391 6.81375 5.93937
0.8702 1 0.8702 10000.7 7.59899 6.70476 5.83244
0.8683 1 0.8683 10000.3 7.48108 6.58802 5.71786
0.8664 1 0.8664 10000.8 7.36517 6.47116 5.60316
0.8645 1 0.8645 10002.1 7.24778 6.35933 5.4935
0.8626 1 0.8626 10001.4 7.12616 6.23816 5.37452
0.8607 1 0.8607 10000.9 7.02097 6.12614 5.2647
0.8588 1 0.8588 10000.7 6.93112 6.02763 5.1684
0.8569 1 0.8569 10000.3 6.85268 5.95164 5.09347
0.855 1 0.855 10000 6.77198 5.87225 5.01559
0.8531 1 0.8531 10000.2 6.69467 5.78943 4.93459
0.8512 1 0.8512 10000.1 6.6229 5.71618 4.86292
0.8493 1 0.8493 10001.2 6.55262 5.64347 4.79201
0.8474 1 0.8474 10000 6.47615 5.56693 4.71749
0.8455 1 0.8455 10000.4 6.39628 5.49011 4.6429
0.8436 1 0.8436 10000.5 6.30667 5.40311 4.55813
0.8417 1 0.8417 10000.4 6.22247 5.31136 4.46863
0.8398 1 0.8398 10000.4 5.9634 5.02807 4.18871
0.8379 1 0.8379 10002.4 5.90247 4.96395 4.12668
0.836 1 0.836 10000.8 5.84427 4.90687 4.07085
0.8341 1 0.8341 10002.1 5.78318 4.84989 4.01507
0.8322 1 0.8322 10000.2 5.72716 4.79445 3.96049
0.8303 1 0.8303 10001.2 5.67077 4.73614 3.90384
0.8284 1 0.8284 10000.3 5.6096 4.67275 3.84256
0.8265 1 0.8265 10001.7 5.54846 4.61111 3.78308
0.8246 1 0.8246 10000.3 5.49807 4.56118 3.73482
0.8227 1 0.8227 10001.6 5.432 4.50214 3.67805
0.8208 1 0.8208 10000.1 5.36362 4.43167 3.60992
0.8189 1 0.8189 10000.9 5.31329 4.38145 3.56162
0.817 1 0.817 10000.6 5.26505 4.3318 3.51358
0.8151 1 0.8151 10000.6 5.20944 4.27878 3.46247
0.8132 1 0.8132 10000.5 5.16036 4.2292 3.41474
0.8113 1 0.8113 10000.1 5.11063 4.18049 3.36825
0.8094 1 0.8094 10000.8 5.06097 4.12556 3.31564
0.8075 1 0.8075 10000.6 5.01789 4.08297 3.27404
0.8056 1 0.8056 10000 4.97807 4.0417 3.23424
0.8037 1 0.8037 10001.3 4.92286 3.98882 3.18366
0.8018 1 0.8018 10000.1 4.8759 3.93579 3.13287
0.7999 1 0.7999 10000.9 4.83619 3.89631 3.09498
0.798 1 0.798 10000.1 4.80063 3.85667 3.05676
0.7961 1 0.7961 10000.2 4.75473 3.81296 3.01542
0.7942 1 0.7942 10000.5 4.70391 3.76243 2.96727
0.7923 1 0.7923 10000.8 4.66768 3.72499 2.93153
0.7904 1 0.7904 10001.3 4.62416 3.68363 2.89191
0.7885 1 0.7885 10000.3 4.57627 3.63485 2.84554
0.7866 1 0.7866 10000 4.52548 3.58545 2.79856
0.7847 1 0.7847 10000.2 4.47778 3.53695 2.75241
0.7828 1 0.7828 10000.8 4.44295 3.50165 2.71822
0.7809 1 0.7809 10000.6 4.4088 3.46686 2.68468
0.779 1 0.779 10000.2 4.37828 3.43602 2.65505
0.7771 1 0.7771 10001.6 4.33398 3.39774 2.61853
0.7752 1 0.7752 10001.1 4.29864 3.36049 2.5834
0.7733 1 0.7733 10000.1 4.2621 3.3232 2.54809
0.7714 1 0.7714 10000 4.22529 3.28472 2.51206
0.7695 1 0.7695 10002.1 4.19197 3.24977 2.4795
0.7676 1 0.7676 10000.7 4.16569 3.22359 2.45471
0.7657 1 0.7657 10001.4 4.14208 3.19682 2.42942
0.7638 1 0.7638 10000.2 4.1023 3.16263 2.39733
0.7619 1 0.7619 10000.2 4.03976 3.11233 2.34951
0.76 1 0.76 10000.5 3.9821 3.05087 2.29053
0.7581 1 0.7581 10001.7 3.95458 3.0204 2.26174
0.7562 1 0.7562 10005.6 3.93376 2.99506 2.23808
0.7543 1 0.7543 10001 3.91141 2.97315 2.21744
0.7524 1 0.7524 10000 3.88645 2.95175 2.19674
0.7505 1 0.7505 10001.4 3.86233 2.92533 2.17213
0.7486 1 0.7486 10000.1 3.81457 2.89008 2.13941
0.7467 1 0.7467 10000.4 3.72803 2.82807 2.07991
0.7448 1 0.7448 10000.5 3.67622 2.76591 2.02028
0.7429 1 0.7429 10000.3 3.63882 2.72646 1.98337
0.741 1 0.741 10001.3 3.59357 2.69152 1.95096
0.7391 1 0.7391 10001.2 3.56909 2.66134 1.92282
0.7372 1 0.7372 10000.7 3.54686 2.63798 1.90172
0.7353 1 0.7353 10000.5 3.52691 2.61544 1.88143
0.7334 1 0.7334 10001.5 3.50434 2.59281 1.86088
0.7315 1 0.7315 10000.2 3.4834 2.56964 1.83988
0.7296 1 0.7296 10002.4 3.45388 2.54118 1.81365
0.7277 1 0.7277 10001.1 3.42934 2.51685 1.7915
0.7258 1 0.7258 10000.3 3.39642 2.48564 1.76291
0.7239 1 0.7239 10000 3.37505 2.45939 1.73873
0.722 1 0.722 10000 3.36075 2.44297 1.72377
0.7201 1 0.7201 10000.7 3.35029 2.42685 1.70921
0.7182 1 0.7182 10000 3.33433 2.41206 1.69514
0.7163 1 0.7163 10000.8 3.31926 2.39591 1.68055
0.7144 1 0.7144 10000.8 3.2994 2.37538 1.66197
0.7125 1 0.7125 10000.2 3.28223 2.35726 1.64572
0.7106 1 0.7106 10000.5 3.2703 2.34272 1.63205
0.7087 1 0.7087 10001.1 3.25286 2.3262 1.61712
0.7068 1 0.7068 10000.1 3.24056 2.31082 1.60328
0.7049 1 0.7049 10001.5 3.22759 2.29447 1.58865
0.703 1 0.703 10000.3 3.21352 2.27943 1.57529
0.7011 1 0.7011 10001.7 3.19529 2.26123 1.55892
0.6992 1 0.6992 10001.3 3.17818 2.24365 1.54289
0.6973 1 0.6973 10000.9 3.16588 2.23016 1.53054
0.6954 1 0.6954 10000.6 3.15084 2.21372 1.51606
0.6935 1 0.6935 10000.1 3.13498 2.19646 1.50107
0.6916 1 0.6916 10000.3 3.11805 2.17696 1.48338
0.6897 1 0.6897 10000.6 3.10377 2.16142 1.46937
0.6878 1 0.6878 10000.4 3.0881 2.14521 1.45509
0.6859 1 0.6859 10000.6 3.07536 2.1321 1.44308
0.684 1 0.684 10000 3.06115 2.11954 1.43156
0.6821 1 0.6821 10000.4 3.04838 2.10544 1.41913
0.6802 1 0.6802 10001.1 3.03656 2.09286 1.40773
0.6783 1 0.6783 10001.2 3.02185 2.07697 1.39389
0.6764 1 0.6764 10000.8 3.00937 2.06246 1.38128
0.6745 1 0.6745 10000.1 2.99569 2.0455 1.36666
0.6726 1 0.6726 10001 2.98557 2.03246 1.35534
0.6707 1 0.6707 10000.1 2.95501 2.00782 1.33356
0.6688 1 0.6688 10000.2 2.94279 1.99312 1.32042
0.6669 1 0.6669 10000.2 2.93481 1.98124 1.30996
0.665 1 0.665 10002.3 2.92075 1.96521 1.29613
0.6631 1 0.6631 10000.8 2.90986 1.95285 1.28506
0.6612 1 0.6612 10001.1 2.90109 1.94149 1.27505
0.6593 1 0.6593 10000.1 2.89221 1.92912 1.26412
0.6574 1 0.6574 10002.9 2.88021 1.91421 1.25147
0.6555 1 0.6555 10000.1 2.86626 1.90088 1.24038
0.6536 1 0.6536 10000.6 2.84765 1.88257 1.2249
0.6517 1 0.6517 10000.3 2.83612 1.86929 1.21399
0.6498 1 0.6498 10000.9 2.82732 1.85733 1.20373
0.6479 1 0.6479 10000.7 2.81238 1.84311 1.19136
0.646 1 0.646 10001.3 2.80272 1.83331 1.1822
0.6441 1 0.6441 10000.6 2.79564 1.82265 1.17294
0.6422 1 0.6422 10000.2 2.78466 1.81138 1.16315
0.6403 1 0.6403 10000 2.77506 1.79954 1.15293
0.6384 1 0.6384 10000.3 2.76574 1.78782 1.14297
0.6365 1 0.6365 10000.2 2.75793 1.77705 1.13392
0.6346 1 0.6346 10006.2 2.749 1.76596 1.12441
0.6327 1 0.6327 10001.1 2.73713 1.75602 1.11559
0.6308 1 0.6308 10000.1 2.72577 1.74229 1.10428
0.6289 1 0.6289 10000.8 2.71719 1.73288 1.09578
0.627 1 0.627 10001.1 2.71117 1.72248 1.08728
0.6251 1 0.6251 10000.4 2.70284 1.71204 1.07857
0.6232 1 0.6232 10001.5 2.69309 1.7007 1.06921
0.6213 1 0.6213 10000.4 2.68141 1.68922 1.05947
0.6194 1 0.6194 10003 2.67354 1.67954 1.05091
0.6175 1 0.6175 10001.2 2.66144 1.66687 1.04071
0.6156 1 0.6156 10000.1 2.64767 1.65507 1.031
0.6137 1 0.6137 10000.4 2.63856 1.6452 1.02248
0.6118 1 0.6118 10000.2 2.61389 1.62324 1.00359
0.6099 1 0.6099 10002.2 2.60522 1.61305 0.995004
0.608 1 0.608 10001.4 2.62677 1.6155 0.992555
0.6061 1 0.6061 10000.4 2.61844 1.60609 0.984326
0.6042 1 0.6042 10001 2.60987 1.59657 0.975937
0.6023 1 0.6023 10000.3 2.59612 1.58444 0.965521
0.6004 1 0.6004 10000 2.58543 1.57332 0.956448
0.5985 1 0.5985 10001.1 2.57333 1.56081 0.945787
0.5966 1 0.5966 10000.7 2.56038 1.54836 0.935497
0.5947 1 0.5947 10000 2.54637 1.53546 0.925089
0.5928 1 0.5928 10000.5 2.53736 1.52432 0.916051
0.5909 1 0.5909 10001.3 2.52887 1.5156 0.908324
0.589 1 0.589 10000.6 2.51558 1.50247 0.897206
0.5871 1 0.5871 10000.1 2.50456 1.49145 0.888532
0.5852 1 0.5852 10000.4 2.49202 1.47821 0.877925
0.5833 1 0.5833 10000.1 2.48482 1.46876 0.869843
0.5814 1 0.5814 10000.1 2.47579 1.45944 0.862166
0.5795 1 0.5795 10000.9 2.46519 1.44965 0.853817
0.5776 1 0.5776 10003.3 2.45273 1.43879 0.844823
0.5757 1 0.5757 10000.1 2.4416 1.4276 0.83598
0.5738 1 0.5738 10000 2.4311 1.41709 0.827392
0.5719 1 0.5719 10002.9 2.42426 1.40858 0.820253
0.57 1 0.57 10000.2 2.41794 1.40093 0.813747
0.5681 1 0.5681 10000.5 2.41325 1.39262 0.807012
0.5662 1 0.5662 10000.9 2.40466 1.38399 0.799901
0.5643 1 0.5643 10007 2.39347 1.37313 0.791014
0.5624 1 0.5624 10000.6 2.38632 1.36588 0.784671
0.5605 1 0.5605 10000.1 2.3678 1.34998 0.771532
0.5586 1 0.5586 10000.6 2.35662 1.33882 0.76212
0.5567 1 0.5567 10000.2 2.35017 1.33111 0.755584
0.5548 1 0.5548 10001.5 2.34423 1.32358 0.749231
0.5529 1 0.5529 10003.5 2.33494 1.31365 0.741455
0.551 1 0.551 10000.7 2.32895 1.30621 0.735329
0.5491 1 0.5491 10001.3 2.32166 1.29811 0.728849
