lambda mu traffic_load total_time waiting_by_job njob_avg nq_avg
0.95 1 0.95 10000.8 17.8535 16.7674 15.8331
0.9481 1 0.9481 10000.5 17.3709 16.2811 15.3484
0.9462 1 0.9462 10000.5 16.907 15.8109 14.8798
0.9443 1 0.9443 10000.9 16.4645 15.3568 14.4274
0.9424 1 0.9424 10000.2 16.0284 14.9266 13.999
0.9405 1 0.9405 10000.2 15.585 14.4883 13.5623
0.9386 1 0.9386 10000.1 15.1487 14.051 13.1267
0.9367 1 0.9367 10000.5 14.7279 13.6312 12.7086
0.9348 1 0.9348 10000.7 14.3161 13.2198 12.2989
0.9329 1 0.9329 10000.1 13.9183 12.8241 11.9049
0.931 1 0.931 10000.2 13.5389 12.4484 11.5309
0.9291 1 0.9291 10000.1 13.1591 12.081 11.1652
0.9272 1 0.9272 10000.2 12.8069 11.7323 10.8183
0.9253 1 0.9253 10001 12.5206 11.4472 10.5352
0.9234 1 0.9234 10000.5 12.2885 11.2207 10.3107
0.9215 1 0.9215 10000.6 12.0707 10.9944 10.0865
0.9196 1 0.9196 10000 11.8795 10.7879 9.88204
0.9177 1 0.9177 10000.2 11.7068 10.5997 9.6959
0.9158 1 0.9158 10000.2 11.5333 10.4188 9.51702
0.9139 1 0.9139 10001 11.3652 10.2466 9.34687
0.912 1 0.912 10000.3 11.2076 10.0839 9.18629
0.9101 1 0.9101 10000.7 11.046 9.92295 9.02737
0.9082 1 0.9082 10000.1 10.8849 9.75442 8.86093
0.9063 1 0.9063 10000 10.739 9.60391 8.71242
0.9044 1 0.9044 10000 10.6025 9.46587 8.57518
0.9025 1 0.9025 10000.5 10.4547 9.31919 8.43028
0.9006 1 0.9006 10000.1 10.3058 9.16694 8.28013
0.8987 1 0.8987 10000.8 10.166 9.02547 8.14061
0.8968 1 0.8968 10000.7 10.0278 8.88293 8.00019
0.8949 1 0.8949 10000.5 9.89476 8.75055 7.86895
0.893 1 0.893 10000.1 9.76455 8.61848 7.73896
0.8911 1 0.8911 10000.2 9.65157 8.49709 7.61947
0.8892 1 0.8892 10000.2 9.52768 8.36397 7.48835
0.8873 1 0.8873 10000.6 9.37431 8.22267 7.34906
0.8854 1 0.8854 10000.7 9.23316 8.07803 7.20644
0.8835 1 0.8835 10000.1 9.09142 7.94169 7.07214
0.8816 1 0.8816 10000.3 8.94816 7.80697 6.93945
0.8797 1 0.8797 10000 8.78963 7.64732 6.78186
0.8778 1 0.8778 10002 8.65161 7.51065 6.64722
