lambda mu traffic_load total_time waiting_by_job njob_avg nq_avg
0.95 1 0.95 10000.1 16.9719 16.117 15.1727
0.9481 1 0.9481 10000.6 16.5275 15.6309 14.6885
0.9462 1 0.9462 10000.1 16.0942 15.1707 14.2302
0.9443 1 0.9443 10000.1 15.6877 14.7474 13.8089
0.9424 1 0.9424 10000.7 15.288 14.3416 13.405
0.9405 1 0.9405 10000 14.914 13.9481 13.0134
0.9386 1 0.9386 10001.5 14.534 13.5759 12.6432
0.9367 1 0.9367 10000.2 14.1901 13.2271 12.2964
0.9348 1 0.9348 10000.9 13.8851 12.9111 11.9824
0.9329 1 0.9329 10001.7 13.6096 12.6224 11.6958
0.931 1 0.931 10000.2 13.3451 12.3416 11.417
0.9291 1 0.9291 10002.4 13.0864 12.0724 11.1496
0.9272 1 0.9272 10000.5 12.8233 11.7967 10.876
0.9253 1 0.9253 10000.7 12.5508 11.529 10.6102
0.9234 1 0.9234 10000.7 12.2865 11.2564 10.3397
0.9215 1 0.9215 10000.1 12.023 10.997 10.0823
0.9196 1 0.9196 10000.1 11.7601 10.7273 9.81468
0.9177 1 0.9177 10000.3 11.5202 10.4915 9.58085
0.9158 1 0.9158 10000.7 11.2892 10.2602 9.35163
0.9139 1 0.9139 10001.2 11.0707 10.037 9.13051
0.912 1 0.912 10000.3 10.8808 9.83104 8.92663
0.9101 1 0.9101 10000.2 10.7035 9.65205 8.74972
0.9082 1 0.9082 10000.4 10.5357 9.48276 8.58213
0.9063 1 0.9063 10000.5 10.3615 9.30982 8.41127
0.9044 1 0.9044 10000.2 10.2057 9.14747 8.25102
0.9025 1 0.9025 10000.3 10.048 8.98872 8.09437
0.9006 1 0.9006 10000.1 9.90649 8.83471 7.94216
0.8987 1 0.8987 10000.7 9.75302 8.68344 7.79282
0.8968 1 0.8968 10000.9 9.60507 8.53725 7.64824
0.8949 1 0.8949 10000.8 9.45983 8.39292 7.50539
0.893 1 0.893 10000.5 9.31192 8.24234 7.35693
0.8911 1 0.8911 10000.3 9.16066 8.08751 7.20423
0.8892 1 0.8892 10000.2 9.01749 7.94972 7.06769
0.8873 1 0.8873 10002.4 8.88439 7.81905 6.93858
0.8854 1 0.8854 10000 8.75313 7.69028 6.81148
0.8835 1 0.8835 10001.3 8.63088 7.56398 6.68674
0.8816 1 0.8816 10000.9 8.51235 7.4442 6.5688
0.8797 1 0.8797 10000.9 8.4059 7.33528 6.46172
0.8778 1 0.8778 10000.7 8.30336 7.23014 6.35767
0.8759 1 0.8759 10000 8.19714 7.12336 6.25269
0.874 1 0.874 10000.4 8.08986 7.01706 6.14841
0.8721 1 0.8721 10000.3 7.99178 6.91669 6.0494
0.8702 1 0.8702 10002.4 7.89155 6.81667 5.95057
0.8683 1 0.8683 10000.1 7.79219 6.72146 5.85618
0.8664 1 0.8664 10000 7.69949 6.62463 5.76118
0.8645 1 0.8645 10000.6 7.60563 6.52963 5.66806
