lambda mu traffic_load total_time waiting_by_job njob_avg nq_avg
0.95 1 0.95 10000.1 33.6681 32.345 31.4009
0.9481 1 0.9481 10001.2 32.7027 31.3824 30.4399
0.9462 1 0.9462 10000.2 31.7295 30.4141 29.4731
0.9443 1 0.9443 10000.3 30.8263 29.4823 28.5429
0.9424 1 0.9424 10000.1 29.9141 28.5738 27.6359
0.9405 1 0.9405 10001.5 28.974 27.6811 26.7448
0.9386 1 0.9386 10000.2 28.1599 26.7897 25.855
0.9367 1 0.9367 10000.2 27.4368 25.9635 25.0303
0.9348 1 0.9348 10000.3 26.6616 25.17 24.2385
0.9329 1 0.9329 10000.6 25.9195 24.4051 23.4751
0.931 1 0.931 10000.2 25.1511 23.656 22.7277
0.9291 1 0.9291 10000.6 24.3713 22.9133 21.9866
0.9272 1 0.9272 10000.7 23.5815 22.167 21.2418
0.9253 1 0.9253 10000.2 22.873 21.4187 20.4952
0.9234 1 0.9234 10000.3 22.1233 20.6943 19.7725
0.9215 1 0.9215 10000.2 21.5993 20.107 19.1869
0.9196 1 0.9196 10000.2 21.0664 19.5551 18.6367
0.9177 1 0.9177 10000.7 20.564 19.0155 18.0988
0.9158 1 0.9158 10000.5 20.1107 18.4949 17.58
0.9139 1 0.9139 10000.1 19.6229 17.9895 17.0764
0.912 1 0.912 10001.5 19.1412 17.5085 16.5971
0.9101 1 0.9101 10000.1 18.667 17.0269 16.1174
0.9082 1 0.9082 10002.8 18.2227 16.5843 15.6765
0.9063 1 0.9063 10000.4 17.7691 16.1339 15.228
0.9044 1 0.9044 10000.6 17.3325 15.6974 14.7932
0.9025 1 0.9025 10000 16.9262 15.2729 14.3705
0.9006 1 0.9006 10002.5 16.5262 14.869 13.9685
0.8987 1 0.8987 10000.4 16.159 14.4793 13.5806
0.8968 1 0.8968 10001.1 15.7852 14.1159 13.219
0.8949 1 0.8949 10000.6 15.4249 13.7652 12.8701
0.893 1 0.893 10000.4 15.0393 13.4168 12.5236
0.8911 1 0.8911 10001.9 14.6576 13.0711 12.1797
0.8892 1 0.8892 10000.6 14.3101 12.7271 11.8377
0.8873 1 0.8873 10000 13.9494 12.3846 11.4971
0.8854 1 0.8854 10000.1 13.5931 12.0528 11.1671
0.8835 1 0.8835 10000.1 13.2637 11.7301 10.8463
0.8816 1 0.8816 10000 12.9016 11.4073 10.5254
0.8797 1 0.8797 10000 12.5367 11.0825 10.2025
