lambda mu traffic_load total_time waiting_by_job njob_avg nq_avg
0.95 1 0.95 10000.5 30.3991 28.8546 27.9019
0.9481 1 0.9481 10000.2 29.1459 27.6184 26.6674
0.9462 1 0.9462 10000.3 27.8951 26.3909 25.4417
0.9443 1 0.9443 10000.7 26.6578 25.1751 24.2272
0.9424 1 0.9424 10000.3 25.4216 23.9575 23.0117
0.9405 1 0.9405 10000.7 24.2024 22.7522 21.8083
0.9386 1 0.9386 10000.1 22.9742 21.5483 20.6065
0.9367 1 0.9367 10000.2 21.7682 20.3738 19.434
0.9348 1 0.9348 10000.4 20.5735 19.2165 18.2787
0.9329 1 0.9329 10000.1 19.3816 18.0611 17.1254
0.931 1 0.931 10000.1 18.261 16.9832 16.0494
0.9291 1 0.9291 10000.9 17.2885 16.0504 15.1185
0.9272 1 0.9272 10000.8 16.5917 15.375 14.4452
0.9253 1 0.9253 10001.6 15.974 14.7815 13.8532
0.9234 1 0.9234 10000.1 15.3978 14.2234 13.2964
0.9215 1 0.9215 10001 14.933 13.7668 12.8416
0.9196 1 0.9196 10000.3 14.4732 13.3216 12.3975
0.9177 1 0.9177 10000.5 14.0093 12.8682 11.9461
0.9158 1 0.9158 10001.9 13.6092 12.4802 11.5597
0.9139 1 0.9139 10001.1 13.2339 12.111 11.1922
0.912 1 0.912 10000.2 12.8464 11.7327 10.8159
0.9101 1 0.9101 10000.7 12.4683 11.3611 10.4464
0.9082 1 0.9082 10000.6 12.0922 11.003 10.0892
0.9063 1 0.9063 10000.5 11.7372 10.6568 9.74499
0.9044 1 0.9044 10000.5 11.4571 10.3808 9.47077
0.9025 1 0.9025 10000.2 11.2072 10.1726 9.28272
0.9006 1 0.9006 10001.1 10.9851 9.94494 9.05708
0.8987 1 0.8987 10000.1 10.7621 9.71562 8.82983
0.8968 1 0.8968 10000.3 10.5559 9.50228 8.61859
0.8949 1 0.8949 10000.2 10.3472 9.29254 8.41097
0.893 1 0.893 10000.6 10.1426 9.08872 8.20926
