lambda mu traffic_load total_time waiting_by_job njob_avg nq_avg
0.95 1 0.95 10000.2 22.305 21.1564 20.1948
0.9481 1 0.9481 10000.5 21.5701 20.4247 19.4651
0.9462 1 0.9462 10000.3 20.8668 19.7246 18.7663
0.9443 1 0.9443 10000.4 20.1616 19.0287 18.0722
0.9424 1 0.9424 10000.8 19.5174 18.3745 17.4198
0.9405 1 0.9405 10000.5 18.8835 17.7426 16.7897
0.9386 1 0.9386 10000.5 18.261 17.119 16.168
0.9367 1 0.9367 10000.6 17.7092 16.5645 15.6154
0.9348 1 0.9348 10000.4 17.1755 16.0428 15.0956
0.9329 1 0.9329 10000.1 16.666 15.5495 14.6041
0.931 1 0.931 10000.4 16.1742 15.0763 14.1327
0.9291 1 0.9291 10000.3 15.7341 14.6423 13.7006
0.9272 1 0.9272 10000.3 15.3004 14.2048 13.2651
0.9253 1 0.9253 10000 14.8917 13.7773 12.8395
0.9234 1 0.9234 10000.9 14.4953 13.3803 12.4444
0.9215 1 0.9215 10000 14.1293 13.0064 12.0725
0.9196 1 0.9196 10000.3 13.7828 12.6623 11.7305
0.9177 1 0.9177 10000.4 13.4509 12.3311 11.4009
0.9158 1 0.9158 10000.1 13.1149 12.0015 11.0733
0.9139 1 0.9139 10000.7 12.7777 11.6711 10.7448
0.912 1 0.912 10000.1 12.4547 11.3495 10.4252
0.9101 1 0.9101 10001.3 12.1912 11.084 10.1617
0.9082 1 0.9082 10000 11.9059 10.8187 9.89831
0.9063 1 0.9063 10000.3 11.6129 10.5463 9.6279
0.9044 1 0.9044 10000.9 11.294 10.2576 9.34122
0.9025 1 0.9025 10000.8 11.0289 9.98549 9.07111
0.9006 1 0.9006 10000.6 10.7729 9.73864 8.82627
0.8987 1 0.8987 10000.3 10.5637 9.51378 8.60343
0.8968 1 0.8968 10000.2 10.3292 9.29314 8.38482
0.8949 1 0.8949 10000.5 10.1034 9.07379 8.1675
0.893 1 0.893 10000.4 9.91456 8.86631 7.96207
0.8911 1 0.8911 10000.3 9.69794 8.65544 7.75325
0.8892 1 0.8892 10000.1 9.51203 8.45483 7.5547
0.8873 1 0.8873 10000.6 9.25976 8.26451 7.36644
0.8854 1 0.8854 10000.2 9.07294 8.06312 7.16713
0.8835 1 0.8835 10001.2 8.86182 7.85706 6.96315
0.8816 1 0.8816 10000 8.638 7.65681 6.76501
0.8797 1 0.8797 10000 8.46634 7.46585 6.57615
0.8778 1 0.8778 10001.3 8.30034 7.28578 6.39819
0.8759 1 0.8759 10000.5 8.1492 7.12724 6.24178
0.874 1 0.874 10000.1 8.01898 6.98934 6.10602
0.8721 1 0.8721 10000.4 7.91591 6.88207 6.00089
0.8702 1 0.8702 10000.3 7.80469 6.7689 5.88986
