lambda mu traffic_load total_time waiting_by_job njob_avg nq_avg
0.95 1 0.95 10000.2 9.86275 9.3487 8.42436
0.9481 1 0.9481 10000.2 9.68517 9.15406 8.23169
0.9462 1 0.9462 10000.6 9.52271 8.97984 8.05944
0.9443 1 0.9443 10000.4 9.35599 8.80611 7.8877
0.9424 1 0.9424 10000 9.19938 8.63794 7.72153
0.9405 1 0.9405 10001.2 9.04867 8.48024 7.56582
0.9386 1 0.9386 10000.9 8.89756 8.32421 7.41181
0.9367 1 0.9367 10000.3 8.7476 8.16553 7.25515
0.9348 1 0.9348 10000.1 8.60831 8.01407 7.10572
0.9329 1 0.9329 10001.7 8.47676 7.87618 6.96976
0.931 1 0.931 10000.5 8.35182 7.7451 6.84037
0.9291 1 0.9291 10000.1 8.21823 7.60645 6.70332
0.9272 1 0.9272 10001.1 8.09898 7.48023 6.57865
0.9253 1 0.9253 10001.3 7.98936 7.36268 6.46281
0.9234 1 0.9234 10000.9 7.88409 7.25196 6.35356
0.9215 1 0.9215 10000.8 7.78119 7.14677 6.24981
0.9196 1 0.9196 10000.4 7.68688 7.04145 6.14613
0.9177 1 0.9177 10001.1 7.584 6.93146 6.03812
0.9158 1 0.9158 10000.7 7.48673 6.82818 5.93645
0.9139 1 0.9139 10000.9 7.39771 6.73651 5.84577
0.912 1 0.912 10000 7.31328 6.6464 5.7571
0.9101 1 0.9101 10000.2 7.2186 6.54741 5.66019
0.9082 1 0.9082 10000.1 7.1315 6.45678 5.57147
0.9063 1 0.9063 10000.1 7.0547 6.37457 5.49072
0.9044 1 0.9044 10000.3 6.98113 6.29261 5.41019
0.9025 1 0.9025 10001 6.90341 6.21037 5.32954
0.9006 1 0.9006 10000.3 6.8289 6.12944 5.25025
0.8987 1 0.8987 10000.3 6.74954 6.04775 5.1703
0.8968 1 0.8968 10000 6.67449 5.9705 5.095
0.8949 1 0.8949 10000.1 6.60445 5.89071 5.01734
0.893 1 0.893 10000.8 6.5418 5.82186 4.9498
0.8911 1 0.8911 10001.7 6.47177 5.74871 4.87868
0.8892 1 0.8892 10000.4 6.4056 5.67965 4.81153
0.8873 1 0.8873 10002.2 6.32361 5.60084 4.7348
0.8854 1 0.8854 10001.7 6.23226 5.51041 4.64649
0.8835 1 0.8835 10000.6 6.14908 5.42444 4.56266
0.8816 1 0.8816 10001.4 6.07063 5.3421 4.48244
0.8797 1 0.8797 10000.1 6.01029 5.27131 4.41382
0.8778 1 0.8778 10000.2 5.946 5.20128 4.34594
0.8759 1 0.8759 10000.3 5.88171 5.13043 4.27725
0.874 1 0.874 10000 5.82352 5.06899 4.21788
0.8721 1 0.8721 10000.5 5.768 5.01015 4.16066
0.8702 1 0.8702 10000.6 5.71314 4.95141 4.10362
0.8683 1 0.8683 10000.1 5.6601 4.8978 4.05123
0.8664 1 0.8664 10000.2 5.61162 4.84555 4.00016
0.8645 1 0.8645 10000.3 5.56266 4.79463 3.95036
0.8626 1 0.8626 10000.4 7.35008 6.34148 5.48454
0.8607 1 0.8607 10000.2 7.22883 6.22554 5.37041
0.8588 1 0.8588 10001.4 7.10563 6.10317 5.25021
0.8569 1 0.8569 10000.8 6.97854 5.98065 5.12989
0.855 1 0.855 10000.8 6.8476 5.8555 5.00695
0.8531 1 0.8531 10000.3 6.72803 5.73838 4.89205
0.8512 1 0.8512 10001.1 6.60328 5.61688 4.77276
0.8493 1 0.8493 10002.5 6.49148 5.50881 4.66662
0.8474 1 0.8474 10000 6.39458 5.41556 4.57526
0.8455 1 0.8455 10001 6.30228 5.32782 4.48872
0.8436 1 0.8436 10001.4 6.20598 5.24082 4.40333
0.8417 1 0.8417 10000.9 6.12706 5.16529 4.32847
0.8398 1 0.8398 10000.1 6.04358 5.08461 4.24997
0.8379 1 0.8379 10000.3 5.96993 5.01103 4.17862
0.836 1 0.836 10000.9 5.89681 4.93907 4.1086
0.8341 1 0.8341 10000 5.81969 4.86467 4.03611
0.8322 1 0.8322 10000.3 5.74539 4.78787 3.96158
0.8303 1 0.8303 10000.3 5.68051 4.7215 3.89701
0.8284 1 0.8284 10000.5 5.61654 4.65944 3.83612
0.8265 1 0.8265 10000.4 5.55287 4.59927 3.77699
0.8246 1 0.8246 10000.6 5.48549 4.5348 3.71433
0.8227 1 0.8227 10002.8 5.42325 4.47508 3.65622
0.8208 1 0.8208 10000.5 5.36118 4.4176 3.59965
0.8189 1 0.8189 10000.3 5.29232 4.3555 3.5397
0.817 1 0.817 10000.5 5.21461 4.27602 3.46254
0.8151 1 0.8151 10002.1 5.14713 4.21556 3.40437
0.8132 1 0.8132 10001.6 5.09848 4.16429 3.35504
0.8113 1 0.8113 10001.4 5.05775 4.12199 3.31445
0.8094 1 0.8094 10000.4 5.01827 4.08023 3.27446
0.8075 1 0.8075 10000.1 4.98169 4.04063 3.23638
0.8056 1 0.8056 10000.5 4.94108 3.99715 3.19513
0.8037 1 0.8037 10000.7 4.89911 3.95467 3.15481
0.8018 1 0.8018 10000.4 4.82929 3.8964 3.09889
0.7999 1 0.7999 10000.3 4.74353 3.81855 3.0234
0.798 1 0.798 10000.2 4.68508 3.75235 2.95956
0.7961 1 0.7961 10000.6 4.63911 3.70577 2.91534
0.7942 1 0.7942 10000.6 4.59561 3.65756 2.86952
0.7923 1 0.7923 10000 4.5628 3.62096 2.83508
0.7904 1 0.7904 10000.1 4.52642 3.58265 2.79916
0.7885 1 0.7885 10000.6 4.48517 3.53918 2.75809
0.7866 1 0.7866 10000.4 4.45366 3.50757 2.72813
0.7847 1 0.7847 10001.5 4.41908 3.47321 2.69598
0.7828 1 0.7828 10002.9 4.38151 3.43366 2.65869
0.7809 1 0.7809 10001.2 4.35196 3.405 2.63078
0.779 1 0.779 10000 4.32373 3.37543 2.60224
0.7771 1 0.7771 10002.1 4.295 3.34254 2.57149
0.7752 1 0.7752 10000.5 4.26542 3.31347 2.5436
0.7733 1 0.7733 10000.3 4.22414 3.27697 2.50927
0.7714 1 0.7714 10000.2 4.18943 3.23697 2.47171
0.7695 1 0.7695 10000.2 4.12829 3.19474 2.43191
0.7676 1 0.7676 10000.1 4.05084 3.12671 2.36633
0.7657 1 0.7657 10000 3.98723 3.0622 2.30429
0.7638 1 0.7638 10001.9 3.95069 3.02062 2.26515
0.7619 1 0.7619 10001.8 3.92504 2.99191 2.23887
0.76 1 0.76 10000 3.89509 2.9628 2.21169
0.7581 1 0.7581 10003.1 3.87316 2.93726 2.18781
0.7562 1 0.7562 10001.7 3.85113 2.91288 2.16522
0.7543 1 0.7543 10000.5 3.83113 2.89236 2.14585
0.7524 1 0.7524 10000.8 3.80836 2.8671 2.12276
0.7505 1 0.7505 10001.3 3.78863 2.84526 2.10255
0.7486 1 0.7486 10000.8 3.76767 2.82298 2.08178
0.7467 1 0.7467 10000.3 3.74564 2.79807 2.05918
0.7448 1 0.7448 10000.7 3.72346 2.77341 2.03668
0.7429 1 0.7429 10001.1 3.70366 2.75258 2.01766
0.741 1 0.741 10006.6 3.68174 2.72858 1.99588
0.7391 1 0.7391 10002.5 3.66287 2.71093 1.9789
0.7372 1 0.7372 10000.2 3.64472 2.6909 1.96052
0.7353 1 0.7353 10000.7 3.62719 2.6705 1.94212
0.7334 1 0.7334 10000.8 3.60387 2.64716 1.92086
0.7315 1 0.7315 10001.9 3.58492 2.62295 1.89906
0.7296 1 0.7296 10000 3.56485 2.60453 1.88236
0.7277 1 0.7277 10000.1 3.54605 2.58296 1.86247
0.7258 1 0.7258 10000.2 3.52643 2.56234 1.84379
0.7239 1 0.7239 10000.3 3.50774 2.54127 1.82437
0.722 1 0.722 10000.2 3.49189 2.52365 1.80821
0.7201 1 0.7201 10000.1 3.47227 2.50327 1.78967
0.7182 1 0.7182 10001.8 3.45706 2.48276 1.77114
0.7163 1 0.7163 10001.3 3.43693 2.46465 1.75472
0.7144 1 0.7144 10000.6 3.42083 2.44749 1.73904
0.7125 1 0.7125 10000.7 3.39556 2.42188 1.7158
0.7106 1 0.7106 10000.1 3.37285 2.39799 1.69441
0.7087 1 0.7087 10000.1 3.35485 2.37951 1.67803
0.7068 1 0.7068 10000.6 3.33798 2.36226 1.66246
0.7049 1 0.7049 10001.2 3.31769 2.34313 1.64496
0.703 1 0.703 10000.1 3.30294 2.3269 1.63004
0.7011 1 0.7011 10000.1 3.28875 2.31231 1.61621
0.6992 1 0.6992 10002.3 3.2703 2.29423 1.60007
0.6973 1 0.6973 10000.4 3.25788 2.2801 1.58694
0.6954 1 0.6954 10001.1 3.24364 2.26413 1.57301
0.6935 1 0.6935 10000.5 3.23142 2.24862 1.55945
0.6916 1 0.6916 10001.4 3.21296 2.23069 1.54366
0.6897 1 0.6897 10000.2 3.19696 2.21289 1.52842
0.6878 1 0.6878 10000.6 3.17906 2.19174 1.50936
0.6859 1 0.6859 10000.9 3.15952 2.16997 1.49025
0.684 1 0.684 10000.3 3.1458 2.15436 1.4763
0.6821 1 0.6821 10000.8 3.11401 2.125 1.4497
0.6802 1 0.6802 10001.1 3.09242 2.10309 1.43052
0.6783 1 0.6783 10000.1 3.07942 2.08819 1.41773
0.6764 1 0.6764 10000.7 3.06662 2.07504 1.40603
0.6745 1 0.6745 10000 3.05301 2.06174 1.39419
0.6726 1 0.6726 10001.1 3.0406 2.04882 1.38234
0.6707 1 0.6707 10001.2 3.02928 2.03513 1.37046
0.6688 1 0.6688 10000.1 3.02041 2.0229 1.35946
0.6669 1 0.6669 10001.4 3.00397 2.00546 1.34458
0.665 1 0.665 10001.5 3.43176 2.32261 1.63671
0.6631 1 0.6631 10000.3 3.41307 2.30478 1.62086
0.6612 1 0.6612 10000.3 3.39726 2.28641 1.60433
0.6593 1 0.6593 10000.2 3.38792 2.26999 1.58987
0.6574 1 0.6574 10000.9 3.37042 2.25226 1.57404
0.6555 1 0.6555 10001.8 3.35319 2.23306 1.55754
0.6536 1 0.6536 10000.1 3.3387 2.21925 1.54476
0.6517 1 0.6517 10001.4 3.325 2.20383 1.53058
0.6498 1 0.6498 10000.3 3.31085 2.1901 1.51792
0.6479 1 0.6479 10000.4 3.29287 2.16958 1.50032
0.646 1 0.646 10000.2 3.27958 2.15529 1.48737
0.6441 1 0.6441 10002.4 3.2616 2.13804 1.4722
0.6422 1 0.6422 10000 3.23702 2.11539 1.45257
0.6403 1 0.6403 10000.4 3.22191 2.09964 1.43892
0.6384 1 0.6384 10000.1 3.20695 2.08616 1.42673
0.6365 1 0.6365 10000.1 3.19153 2.06877 1.4117
0.6346 1 0.6346 10001.4 3.17826 2.05445 1.39875
0.6327 1 0.6327 10002.3 3.16578 2.03988 1.38602
0.6308 1 0.6308 10000.3 3.14746 2.02102 1.36922
0.6289 1 0.6289 10000.5 3.1329 2.00516 1.35564
0.627 1 0.627 10001.8 3.12036 1.99211 1.34395
0.6251 1 0.6251 10000.3 3.10246 1.97528 1.32986
0.6232 1 0.6232 10000.4 3.08573 1.95886 1.31559
