lambda mu traffic_load total_time waiting_by_job njob_avg nq_avg
0.95 1 0.95 10000 16.0739 15.2028 14.2577
0.9481 1 0.9481 10000 15.3543 14.4921 13.5489
0.9462 1 0.9462 10000.3 14.6616 13.8273 12.8848
0.9443 1 0.9443 10000.8 14.2341 13.3955 12.4548
0.9424 1 0.9424 10000.4 13.825 12.9806 12.0419
0.9405 1 0.9405 10000.2 13.4718 12.6213 11.6846
0.9386 1 0.9386 10000.9 13.1611 12.315 11.3802
0.9367 1 0.9367 10000.2 12.8947 12.0471 11.1143
0.9348 1 0.9348 10000.2 12.6266 11.7721 10.8413
0.9329 1 0.9329 10001.1 12.3585 11.5035 10.5747
0.931 1 0.931 10001.8 12.1049 11.2435 10.3168
0.9291 1 0.9291 10000.2 11.863 10.999 10.0744
0.9272 1 0.9272 10000.8 11.6324 10.7613 9.83865
0.9253 1 0.9253 10000.3 11.4144 10.5341 9.61351
0.9234 1 0.9234 10000.3 11.2044 10.3111 9.3926
0.9215 1 0.9215 10000.5 10.9896 10.0947 9.17803
0.9196 1 0.9196 10000.1 10.7875 9.8837 8.96908
0.9177 1 0.9177 10000.1 10.6036 9.69566 8.7831
0.9158 1 0.9158 10000.3 10.4132 9.50486 8.59436
0.9139 1 0.9139 10000.2 10.243 9.33324 8.42458
0.912 1 0.912 10000.1 10.0821 9.17157 8.26465
0.9101 1 0.9101 10000.6 9.92743 9.01211 8.10612
0.9082 1 0.9082 10001.2 9.75208 8.83405 7.93011
0.9063 1 0.9063 10000.1 9.56383 8.65428 7.75243
0.9044 1 0.9044 10001.7 9.3884 8.48019 7.58041
0.9025 1 0.9025 10000.7 9.23432 8.31834 7.42066
0.9006 1 0.9006 10001.3 9.08045 8.16468 7.2691
0.8987 1 0.8987 10001.4 8.94824 8.02724 7.13356
0.8968 1 0.8968 10000.6 8.82218 7.9013 7.00875
0.8949 1 0.8949 10000.4 8.69769 7.77483 6.88397
0.893 1 0.893 10001.4 8.57653 7.65263 6.76348
0.8911 1 0.8911 10000.1 8.44636 7.52592 6.63848
0.8892 1 0.8892 10000.8 8.30863 7.3898 6.50447
0.8873 1 0.8873 10000 8.18155 7.25555 6.37236
0.8854 1 0.8854 10000.2 8.08243 7.15055 6.26947
0.8835 1 0.8835 10000.1 7.98395 7.05132 6.17238
0.8816 1 0.8816 10000.4 7.89002 6.95797 6.08009
0.8797 1 0.8797 10001.7 7.79841 6.86468 5.98805
0.8778 1 0.8778 10000.2 7.70514 6.77131 5.89617
0.8759 1 0.8759 10000.6 7.61876 6.67755 5.80442
0.874 1 0.874 10000.8 7.53353 6.59281 5.72081
0.8721 1 0.8721 10002.8 7.44772 6.50747 5.6367
0.8702 1 0.8702 10001.2 7.35866 6.41904 5.54992
0.8683 1 0.8683 10001.1 7.28029 6.33681 5.46932
0.8664 1 0.8664 10000.1 7.20419 6.25614 5.3906
0.8645 1 0.8645 10000.5 7.12823 6.17228 5.30893
0.8626 1 0.8626 10000.9 7.05257 6.09447 5.23231
0.8607 1 0.8607 10000.4 6.97983 6.02059 5.16044
0.8588 1 0.8588 10000.2 6.9106 5.95014 5.09098
0.8569 1 0.8569 10000.2 6.83029 5.86439 5.00744
0.855 1 0.855 10000.8 6.76078 5.79078 4.93587
0.8531 1 0.8531 10005.3 6.69158 5.72161 4.86847
0.8512 1 0.8512 10000.4 6.62642 5.65874 4.80681
0.8493 1 0.8493 10000.3 6.56299 5.59373 4.74339
0.8474 1 0.8474 10000.6 6.48644 5.5156 4.66749
0.8455 1 0.8455 10001.7 6.42098 5.44662 4.60073
0.8436 1 0.8436 10000.5 6.36017 5.38681 4.54192
0.8417 1 0.8417 10000.4 6.27909 5.30892 4.46626
0.8398 1 0.8398 10000.5 6.19736 5.22783 4.38742
0.8379 1 0.8379 10000.1 6.11729 5.14868 4.31053
0.836 1 0.836 10001.4 6.05216 5.07449 4.23859
0.8341 1 0.8341 10001.4 5.99203 5.01344 4.17958
0.8322 1 0.8322 10002.2 5.93281 4.95324 4.12139
0.8303 1 0.8303 10000.6 5.87537 4.89762 4.06752
0.8284 1 0.8284 10001 5.82217 4.83971 4.01154
0.8265 1 0.8265 10001.8 5.76891 4.7879 3.96181
0.8246 1 0.8246 10000.7 5.72182 4.74026 3.91518
0.8227 1 0.8227 10000.1 5.67407 4.69185 3.86841
0.8208 1 0.8208 10000.4 5.61955 4.63661 3.81521
0.8189 1 0.8189 10000.5 5.56557 4.57645 3.75734
0.817 1 0.817 10001.8 5.48962 4.51904 3.70221
0.8151 1 0.8151 10000.2 4.55277 3.71685 2.91293
0.8132 1 0.8132 10000.5 4.50842 3.6723 2.87069
0.8113 1 0.8113 10000.7 4.47321 3.63511 2.83563
