lambda mu traffic_load total_time waiting_by_job njob_avg nq_avg
0.95 1 0.95 10000.4 23.8419 22.6007 21.6362
0.9481 1 0.9481 10000.2 22.1426 20.9421 19.9795
0.9462 1 0.9462 10001.1 20.7705 19.6049 18.6443
0.9443 1 0.9443 10000.1 19.5369 18.3911 17.4324
0.9424 1 0.9424 10001.5 18.7097 17.568 16.6113
0.9405 1 0.9405 10000.3 18.0287 16.8883 15.9335
0.9386 1 0.9386 10000.2 17.374 16.2349 15.2821
0.9367 1 0.9367 10000.4 16.7424 15.615 14.6641
0.9348 1 0.9348 10000.3 16.1258 15.0113 14.0624
0.9329 1 0.9329 10000.2 15.5277 14.4202 13.4733
0.931 1 0.931 10000 14.9516 13.8538 12.9089
0.9291 1 0.9291 10000.1 14.4352 13.352 12.4092
0.9272 1 0.9272 10000 14.0697 12.9925 12.0517
0.9253 1 0.9253 10001.5 13.7189 12.6411 11.7023
0.9234 1 0.9234 10000.2 13.3898 12.3084 11.3717
0.9215 1 0.9215 10000.7 13.0581 11.9765 11.0418
0.9196 1 0.9196 10000.1 12.7336 11.6549 10.7223
0.9177 1 0.9177 10000.1 12.4566 11.3777 10.4472
0.9158 1 0.9158 10001 13.1067 12.1017 11.1742
0.9139 1 0.9139 10000.7 12.8428 11.8263 10.9008
0.912 1 0.912 10000.4 12.5591 11.55 10.6265
0.9101 1 0.9101 10001.7 12.2997 11.2916 10.3702
0.9082 1 0.9082 10000.9 12.0559 11.0434 10.1241
0.9063 1 0.9063 10001.2 11.823 10.7994 9.88209
0.9044 1 0.9044 10000.1 11.6016 10.5686 9.65336
0.9025 1 0.9025 10000.7 11.3992 10.354 9.44089
0.9006 1 0.9006 10000.3 11.1966 10.1513 9.24029
0.8987 1 0.8987 10000.3 10.9991 9.95622 9.04728
0.8968 1 0.8968 10000.7 10.8111 9.76723 8.8604
0.8949 1 0.8949 10000 10.6356 9.58646 8.68175
0.893 1 0.893 10005 10.4522 9.40436 8.50171
0.8911 1 0.8911 10000 10.2762 9.23123 8.33019
0.8892 1 0.8892 10000.4 10.1015 9.0537 8.1547
0.8873 1 0.8873 10000.6 9.92088 8.87037 7.97349
0.8854 1 0.8854 10000.2 9.74845 8.69602 7.80128
0.8835 1 0.8835 10000.6 9.58371 8.52977 7.63717
0.8816 1 0.8816 10001 9.43358 8.37868 7.48785
0.8797 1 0.8797 10000.4 9.28946 8.23483 7.34536
0.8778 1 0.8778 10002.2 9.14608 8.08974 7.20175
0.8759 1 0.8759 10000.2 9.0036 7.94857 7.06201
0.874 1 0.874 10001.5 8.86655 7.81024 6.92546
0.8721 1 0.8721 10000.1 8.72898 7.67182 6.78887
0.8702 1 0.8702 10000.6 8.59403 7.53911 6.65782
0.8683 1 0.8683 10000.1 8.46414 7.40951 6.52996
0.8664 1 0.8664 10000.1 8.33845 7.28525 6.40714
0.8645 1 0.8645 10001.5 8.20911 7.15784 6.28175
0.8626 1 0.8626 10001 8.08445 7.03521 6.1611
0.8607 1 0.8607 10000.5 7.96826 6.91996 6.04727
0.8588 1 0.8588 10001 7.82763 6.78971 5.91921
0.8569 1 0.8569 10000.4 7.70333 6.65911 5.79082
0.855 1 0.855 10000.2 7.5858 6.54793 5.68122
0.8531 1 0.8531 10000.9 7.47011 6.4305 5.566
0.8512 1 0.8512 10000.3 7.35124 6.31457 5.45231
0.8493 1 0.8493 10000.3 7.2403 6.20751 5.34727
0.8474 1 0.8474 10000 7.13693 6.10314 5.24468
0.8455 1 0.8455 10001.9 7.00227 5.98338 5.12712
0.8436 1 0.8436 10000.1 6.88816 5.86947 5.01548
0.8417 1 0.8417 10000 6.75545 5.74875 4.89701
0.8398 1 0.8398 10001 6.65634 5.64319 4.79363
0.8379 1 0.8379 10000.2 6.56832 5.55864 4.71094
0.836 1 0.836 10000.1 6.48393 5.47005 4.62445
0.8341 1 0.8341 10000.1 6.40282 5.38795 4.54395
0.8322 1 0.8322 10000 6.3203 5.30905 4.46671
0.8303 1 0.8303 10000.4 6.23904 5.23206 4.39126
0.8284 1 0.8284 10000.2 6.1593 5.15557 4.3162
0.8265 1 0.8265 10001.6 6.0826 5.08101 4.24333
0.8246 1 0.8246 10001.4 6.01116 5.01134 4.17519
0.8227 1 0.8227 10000.9 5.94309 4.94446 4.11048
0.8208 1 0.8208 10000 5.87515 4.87618 4.04453
0.8189 1 0.8189 10000.8 5.81567 4.81559 3.98518
0.817 1 0.817 10000.1 5.75198 4.75267 3.92427
0.8151 1 0.8151 10001.3 5.69108 4.69211 3.86596
0.8132 1 0.8132 10000.6 5.62974 4.63103 3.80723
0.8113 1 0.8113 10000.4 5.57762 4.5729 3.751
0.8094 1 0.8094 10001.1 5.51838 4.51559 3.69574
0.8075 1 0.8075 10003.9 5.44733 4.45118 3.63358
0.8056 1 0.8056 10000.1 5.38192 4.38179 3.56657
0.8037 1 0.8037 10000.2 5.29023 4.30365 3.49075
0.8018 1 0.8018 10000.3 5.18987 4.22189 3.41132
0.7999 1 0.7999 10001.1 5.08634 4.12425 3.31601
0.798 1 0.798 10000.1 4.99753 4.02759 3.22173
0.7961 1 0.7961 10000.1 4.92961 3.95411 3.15062
0.7942 1 0.7942 10000.7 4.87582 3.899 3.09788
0.7923 1 0.7923 10000.2 4.82963 3.85115 3.05243
0.7904 1 0.7904 10000 4.78892 3.81181 3.01455
0.7885 1 0.7885 10000.9 4.75198 3.77273 2.97772
0.7866 1 0.7866 10000.1 4.70814 3.73195 2.93887
0.7847 1 0.7847 10000.5 4.66276 3.68177 2.89109
0.7828 1 0.7828 10000.1 4.624 3.64402 2.85502
0.7809 1 0.7809 10000.5 4.59059 3.60528 2.81846
0.779 1 0.779 10000.1 4.55875 3.57133 2.78625
0.7771 1 0.7771 10000.1 4.52828 3.53884 2.75508
0.7752 1 0.7752 10000.1 4.49212 3.50039 2.71872
0.7733 1 0.7733 10006.2 4.45704 3.4641 2.68467
0.7714 1 0.7714 10000.4 4.42952 3.43495 2.65704
0.7695 1 0.7695 10001.6 4.39946 3.40464 2.62822
0.7676 1 0.7676 10000 4.36917 3.37344 2.59918
0.7657 1 0.7657 10000.5 4.3007 3.32273 2.55093
0.7638 1 0.7638 10000.1 4.24643 3.26421 2.49489
0.7619 1 0.7619 10000.1 4.21313 3.23088 2.46374
0.76 1 0.76 10000.1 4.17703 3.19467 2.43002
0.7581 1 0.7581 10000.6 4.15057 3.1698 2.40595
0.7562 1 0.7562 10002.6 4.11831 3.13963 2.37759
0.7543 1 0.7543 10000.2 4.09166 3.10838 2.34851
0.7524 1 0.7524 10001.3 4.05677 3.07353 2.3159
0.7505 1 0.7505 10000 4.02846 3.04511 2.28883
0.7486 1 0.7486 10000.2 3.99653 3.01327 2.25915
0.7467 1 0.7467 10000.3 3.97261 2.98731 2.23539
0.7448 1 0.7448 10000.8 3.9369 2.95123 2.20184
0.7429 1 0.7429 10000 3.90393 2.92118 2.17405
0.741 1 0.741 10002.6 3.87138 2.88499 2.14029
0.7391 1 0.7391 10000.2 3.84847 2.86089 2.11747
0.7372 1 0.7372 10000.1 3.82688 2.83692 2.09513
0.7353 1 0.7353 10000.2 3.79999 2.80973 2.06966
0.7334 1 0.7334 10000.4 3.77313 2.78478 2.04645
0.7315 1 0.7315 10000.3 3.74108 2.75236 2.01661
0.7296 1 0.7296 10000.4 3.70758 2.71745 1.9843
0.7277 1 0.7277 10000.1 3.68472 2.69389 1.96247
0.7258 1 0.7258 10001.5 3.66371 2.67227 1.94206
0.7239 1 0.7239 10000.3 3.64298 2.64987 1.92148
0.722 1 0.722 10000.7 3.61209 2.61957 1.89358
0.7201 1 0.7201 10000.7 3.59088 2.59747 1.87307
0.7182 1 0.7182 10000.9 3.56197 2.57158 1.84912
0.7163 1 0.7163 10000.9 3.53502 2.54469 1.82446
0.7144 1 0.7144 10000.9 3.4972 2.50796 1.79035
0.7125 1 0.7125 10000 3.47965 2.48794 1.77231
0.7106 1 0.7106 10000.2 3.46303 2.4691 1.75501
0.7087 1 0.7087 10001.3 3.44536 2.45035 1.73779
