lambda mu traffic_load total_time waiting_by_job njob_avg nq_avg
0.95 1 0.95 10000 33.15 31.8307 30.8613
0.9481 1 0.9481 10000.3 31.6619 30.3408 29.3729
0.9462 1 0.9462 10000.3 30.2029 28.873 27.9067
0.9443 1 0.9443 10001.3 23.1052 21.6367 20.6836
0.9424 1 0.9424 10000.5 22.3691 20.9003 19.9492
0.9405 1 0.9405 10000.5 21.7116 20.2457 19.2967
0.9386 1 0.9386 10000.6 21.1427 19.672 18.725
0.9367 1 0.9367 10002.5 20.6051 19.1498 18.2043
0.9348 1 0.9348 10001.3 20.1153 18.6708 17.7264
0.9329 1 0.9329 10000.4 19.6503 18.1975 17.2548
0.931 1 0.931 10000.1 19.1849 17.7277 16.7869
0.9291 1 0.9291 10000.8 18.7526 17.295 16.3562
0.9272 1 0.9272 10000.4 18.3333 16.8713 15.9345
0.9253 1 0.9253 10000.6 17.9283 16.4823 15.5472
0.9234 1 0.9234 10001.2 17.5546 16.1118 15.178
0.9215 1 0.9215 10000.1 17.1874 15.7472 14.815
0.9196 1 0.9196 10000.1 16.8121 15.3863 14.4552
0.9177 1 0.9177 10000 16.4522 15.0323 14.1027
0.9158 1 0.9158 10000 16.115 14.6849 13.7572
0.9139 1 0.9139 10000.4 15.792 14.3567 13.4309
0.912 1 0.912 10001.9 15.4837 14.044 13.1202
0.9101 1 0.9101 10000.2 15.1661 13.7316 12.8099
0.9082 1 0.9082 10000.1 14.8597 13.4289 12.5091
0.9063 1 0.9063 10001 14.5595 13.1247 12.2069
0.9044 1 0.9044 10001.4 14.2479 12.8256 11.9098
0.9025 1 0.9025 10000.6 13.9495 12.5238 11.6101
0.9006 1 0.9006 10000.3 13.6847 12.2555 11.3439
0.8987 1 0.8987 10001.3 13.4143 11.9894 11.0798
0.8968 1 0.8968 10000.3 13.1075 11.7043 10.7968
0.8949 1 0.8949 10000.8 12.7932 11.4075 10.502
0.893 1 0.893 10001.4 12.5017 11.1145 10.2112
0.8911 1 0.8911 10000.3 12.1917 10.818 9.91676
0.8892 1 0.8892 10000.8 11.917 10.5346 9.63546
0.8873 1 0.8873 10000.6 11.655 10.282 9.38502
0.8854 1 0.8854 10000.4 11.4226 10.0525 9.15769
0.8835 1 0.8835 10001.1 11.1997 9.8346 8.94188
0.8816 1 0.8816 10000.2 10.9885 9.62616 8.7352
0.8797 1 0.8797 10001.5 10.7697 9.41664 8.52773
0.8778 1 0.8778 10000.2 10.551 9.20458 8.31781
0.8759 1 0.8759 10000 10.3205 8.98502 8.10039
0.874 1 0.874 10000.2 10.0903 8.75969 7.87721
0.8721 1 0.8721 10000.3 9.85635 8.54157 7.66124
0.8702 1 0.8702 10000.2 9.62107 8.31869 7.44053
0.8683 1 0.8683 10000 9.40415 8.10529 7.22932
0.8664 1 0.8664 10000.1 9.24122 7.94493 7.07114
0.8645 1 0.8645 10000.2 9.08845 7.79959 6.92708
0.8626 1 0.8626 10000.5 8.9321 7.64984 6.77947
0.8607 1 0.8607 10000.2 8.77506 7.49639 6.62822
0.8588 1 0.8588 10000.1 8.62408 7.35303 6.48634
0.8569 1 0.8569 10000.3 8.47483 7.21359 6.34797
0.855 1 0.855 10000.1 8.32563 7.07483 6.21062
0.8531 1 0.8531 10000 8.17658 6.93219 6.07014
0.8512 1 0.8512 10000.9 8.04115 6.80057 5.94028
0.8493 1 0.8493 10000.5 7.90634 6.67227 5.81365
0.8474 1 0.8474 10000.2 7.7718 6.54452 5.68752
0.8455 1 0.8455 10000.2 7.64091 6.41542 5.56031
0.8436 1 0.8436 10001.7 7.51814 6.29559 5.44251
0.8417 1 0.8417 10000.9 7.39356 6.18117 5.3295
0.8398 1 0.8398 10000.2 7.26935 6.06448 5.21441
0.8379 1 0.8379 10000.1 7.14815 5.94865 5.1004
0.836 1 0.836 10000.6 7.02238 5.83152 4.98511
0.8341 1 0.8341 10001.6 6.88572 5.70578 4.86162
0.8322 1 0.8322 10000.4 6.76265 5.59017 4.74816
0.8303 1 0.8303 10000.1 6.64108 5.48111 4.64101
0.8284 1 0.8284 10000.2 6.51687 5.36802 4.53017
0.8265 1 0.8265 10001.3 6.40901 5.26252 4.42692
0.8246 1 0.8246 10002.3 6.28944 5.16162 4.32828
0.8227 1 0.8227 10000.1 6.17812 5.05717 4.22616
0.8208 1 0.8208 10000.2 6.07866 4.95614 4.12742
0.8189 1 0.8189 10000.6 5.98462 4.86459 4.03817
0.817 1 0.817 10000.3 5.90802 4.78506 3.96097
0.8151 1 0.8151 10000.2 5.83985 4.71944 3.89668
0.8132 1 0.8132 10000.8 5.76599 4.64766 3.82695
0.8113 1 0.8113 10000.6 5.70142 4.58252 3.76356
0.8094 1 0.8094 10000.9 5.63449 4.52069 3.70341
0.8075 1 0.8075 10001 5.57275 4.45934 3.64396
0.8056 1 0.8056 10000 5.51103 4.39964 3.58659
0.8037 1 0.8037 10001.3 5.4519 4.34286 3.53186
0.8018 1 0.8018 10000.8 5.38112 4.2798 3.47117
0.7999 1 0.7999 10000 5.30477 4.20584 3.39959
0.798 1 0.798 10000.1 5.2485 4.15469 3.34976
0.7961 1 0.7961 10000.2 5.19512 4.10059 3.29804
0.7942 1 0.7942 10000.1 5.15086 4.05629 3.25554
0.7923 1 0.7923 10000.8 5.10268 4.00885 3.20991
0.7904 1 0.7904 10003.1 5.05593 3.96665 3.16848
0.7885 1 0.7885 10000 5.00922 3.92622 3.12877
0.7866 1 0.7866 10000.5 4.96832 3.88503 3.08889
0.7847 1 0.7847 10000.2 4.92219 3.84023 3.04598
0.7828 1 0.7828 10000.7 4.87921 3.79683 3.00448
0.7809 1 0.7809 10000.4 4.84018 3.75758 2.96666
0.779 1 0.779 10000.1 4.79971 3.7185 2.92883
0.7771 1 0.7771 10000 4.75885 3.67731 2.88969
0.7752 1 0.7752 10002.1 4.71705 3.63608 2.85003
0.7733 1 0.7733 10000.2 4.67767 3.59757 2.81354
0.7714 1 0.7714 10000.8 4.6188 3.54328 2.76168
0.7695 1 0.7695 10001.3 4.56789 3.49303 2.71389
0.7676 1 0.7676 10000.3 4.53253 3.45786 2.68026
0.7657 1 0.7657 10000.1 4.49527 3.42238 2.64646
0.7638 1 0.7638 10000.1 4.45134 3.3779 2.60446
0.7619 1 0.7619 10000.4 4.41126 3.33743 2.56636
0.76 1 0.76 10000.1 4.37692 3.30335 2.53386
0.7581 1 0.7581 10000.4 4.07201 3.08948 2.32148
0.7562 1 0.7562 10001.6 4.04276 3.05948 2.29308
0.7543 1 0.7543 10006.2 4.01305 3.03119 2.2665
0.7524 1 0.7524 10000.6 3.98603 3.00592 2.24236
0.7505 1 0.7505 10000.3 3.95213 2.97211 2.21108
0.7486 1 0.7486 10000.5 3.92715 2.94561 2.1862
0.7467 1 0.7467 10004.1 3.90281 2.91966 2.16193
0.7448 1 0.7448 10002.2 3.87851 2.89662 2.1399
0.7429 1 0.7429 10000.7 3.84929 2.86842 2.11361
0.741 1 0.741 10000.8 3.82246 2.84027 2.08795
0.7391 1 0.7391 10001.1 3.79792 2.81605 2.06568
0.7372 1 0.7372 10000.1 3.78038 2.79377 2.0451
0.7353 1 0.7353 10001.2 3.74758 2.76628 2.01961
0.7334 1 0.7334 10001.1 3.72067 2.73793 1.99323
0.7315 1 0.7315 10000.5 3.70018 2.71432 1.97125
0.7296 1 0.7296 10001 3.6792 2.69264 1.95085
0.7277 1 0.7277 10001.1 3.65787 2.67141 1.93086
0.7258 1 0.7258 10000.3 3.63228 2.64767 1.90857
0.7239 1 0.7239 10001.5 3.60534 2.62279 1.8859
0.722 1 0.722 10001.3 3.57004 2.58909 1.85482
0.7201 1 0.7201 10000 3.54038 2.55707 1.82539
0.7182 1 0.7182 10000.1 3.51842 2.53605 1.80598
0.7163 1 0.7163 10000.3 3.4964 2.51664 1.78717
0.7144 1 0.7144 10000.7 3.47436 2.49478 1.76691
0.7125 1 0.7125 10001.4 3.44691 2.46897 1.74299
0.7106 1 0.7106 10001 3.42342 2.44646 1.72246
0.7087 1 0.7087 10001.1 3.39361 2.42156 1.69946
0.7068 1 0.7068 10000.3 3.36198 2.39097 1.67124
0.7049 1 0.7049 10002.7 3.33576 2.36436 1.64692
