lambda mu traffic_load total_time waiting_by_job njob_avg nq_avg
0.95 1 0.95 10000.6 16.7428 15.5689 14.6305
0.9481 1 0.9481 10000.8 16.2792 15.1152 14.1788
0.9462 1 0.9462 10000.1 15.86 14.6933 13.7588
0.9443 1 0.9443 10000 15.4689 14.2984 13.3659
0.9424 1 0.9424 10000.3 15.0907 13.9179 12.9874
0.9405 1 0.9405 10000.9 14.7231 13.5512 12.6226
0.9386 1 0.9386 10000.3 14.4247 13.2491 12.3225
0.9367 1 0.9367 10000 14.1348 12.9541 12.0295
0.9348 1 0.9348 10000.5 13.8274 12.6576 11.7351
0.9329 1 0.9329 10000 13.5891 12.4087 11.4882
0.931 1 0.931 10000.9 13.3572 12.1625 11.244
0.9291 1 0.9291 10000.4 13.141 11.9352 11.0188
0.9272 1 0.9272 10000.7 12.9366 11.7276 10.8132
0.9253 1 0.9253 10001.3 12.7498 11.5375 10.6247
0.9234 1 0.9234 10000.4 12.5648 11.3472 10.4363
0.9215 1 0.9215 10000.1 12.368 11.141 10.2321
0.9196 1 0.9196 10000.7 12.1747 10.947 10.0401
0.9177 1 0.9177 10000.3 11.991 10.7584 9.85359
0.9158 1 0.9158 10000.5 11.8173 10.5767 9.67396
0.9139 1 0.9139 10001.1 11.6473 10.3975 9.49686
0.912 1 0.912 10000.1 11.4859 10.2323 9.33374
0.9101 1 0.9101 10000.6 11.3283 10.0727 9.17607
0.9082 1 0.9082 10000.2 11.1781 9.92162 9.0265
0.9063 1 0.9063 10001.2 11.0321 9.77106 8.87729
0.9044 1 0.9044 10000.7 10.8878 9.62362 8.73083
0.9025 1 0.9025 10000.3 10.7317 9.46513 8.57445
0.9006 1 0.9006 10000.3 10.5889 9.31556 8.42644
0.8987 1 0.8987 10000.5 10.4137 9.14639 8.25937
0.8968 1 0.8968 10000.9 10.2373 8.97172 8.0868
0.8949 1 0.8949 10000.1 10.0719 8.80279 7.91999
0.893 1 0.893 10001.7 9.91227 8.64405 7.76336
0.8911 1 0.8911 10000.1 9.7731 8.5084 7.62905
0.8892 1 0.8892 10000.6 9.63646 8.37486 7.49692
0.8873 1 0.8873 10000.6 9.49987 8.24183 7.3653
0.8854 1 0.8854 10000.5 9.37293 8.10752 7.23303
0.8835 1 0.8835 10002.6 9.23499 7.97606 7.10324
0.8816 1 0.8816 10000.3 9.10082 7.84924 6.97747
0.8797 1 0.8797 10002.3 8.97244 7.72081 6.85071
0.8778 1 0.8778 10001.1 8.83913 7.59933 6.73028
0.8759 1 0.8759 10001 8.71025 7.47702 6.60944
0.874 1 0.874 10000.1 8.58498 7.35554 6.48927
0.8721 1 0.8721 10000.5 8.4599 7.23311 6.36838
0.8702 1 0.8702 10000.4 8.33008 7.11274 6.24876
0.8683 1 0.8683 10001.1 8.20139 6.98967 6.12717
0.8664 1 0.8664 10000.1 8.07505 6.87021 6.00894
0.8645 1 0.8645 10000.1 7.94812 6.74929 5.88983
0.8626 1 0.8626 10001.3 7.82122 6.62824 5.77081
0.8607 1 0.8607 10001.1 7.69862 6.51031 5.65464
0.8588 1 0.8588 10000.3 7.57796 6.39307 5.53896
0.8569 1 0.8569 10001 7.43299 6.26384 5.41189
0.855 1 0.855 10000.3 7.26885 6.12182 5.27206
0.8531 1 0.8531 10000.3 7.11228 5.97657 5.12901
0.8512 1 0.8512 10000.4 6.96753 5.83855 4.99319
0.8493 1 0.8493 10000.5 6.84733 5.71458 4.87143
0.8474 1 0.8474 10000.1 6.71638 5.59596 4.75504
0.8455 1 0.8455 10000.3 6.58706 5.47246 4.63377
0.8436 1 0.8436 10000.2 6.46595 5.35345 4.51701
0.8417 1 0.8417 10000.8 6.37249 5.26072 4.4263
0.8398 1 0.8398 10003.4 6.12843 5.16266 4.33332
0.8379 1 0.8379 10000.4 6.05673 5.0963 4.26804
0.836 1 0.836 10000.3 5.99186 5.03243 4.20533
0.8341 1 0.8341 10000.3 5.92435 4.96463 4.13959
0.8322 1 0.8322 10000 5.86466 4.90112 4.07768
0.8303 1 0.8303 10000.1 5.80298 4.83731 4.0158
0.8284 1 0.8284 10000 5.7305 4.76546 3.94604
0.8265 1 0.8265 10000 5.64844 4.68575 3.8686
0.8246 1 0.8246 10000.7 5.56798 4.60671 3.79184
0.8227 1 0.8227 10000.2 5.4921 4.53467 3.7221
0.8208 1 0.8208 10000 5.42338 4.46705 3.65679
0.8189 1 0.8189 10000 5.3683 4.41274 3.60417
0.817 1 0.817 10000.9 5.31814 4.36153 3.55469
0.8151 1 0.8151 10000.3 5.26472 4.30535 3.50069
0.8132 1 0.8132 10000.7 5.21617 4.25871 3.45527
