lambda mu traffic_load total_time waiting_by_job njob_avg nq_avg
0.95 1 0.95 10000.1 18.0501 17.1932 16.238
0.9481 1 0.9481 10000.4 17.4586 16.5962 15.643
0.9462 1 0.9462 10000.7 16.8815 16.0192 15.0679
0.9443 1 0.9443 10001.1 16.2973 15.4455 14.4962
0.9424 1 0.9424 10000.4 15.7422 14.8926 13.9452
0.9405 1 0.9405 10000.4 15.2758 14.4304 13.485
0.9386 1 0.9386 10000.2 14.8007 13.9776 13.0341
0.9367 1 0.9367 10001.2 14.362 13.5135 12.572
0.9348 1 0.9348 10000.3 13.9919 13.1243 12.1847
0.9329 1 0.9329 10000.7 13.6285 12.7563 11.8188
0.931 1 0.931 10000 13.2742 12.3922 11.4567
0.9291 1 0.9291 10000.3 12.916 12.0336 11.1001
0.9272 1 0.9272 10000.6 12.5898 11.6945 10.7629
0.9253 1 0.9253 10000.2 12.287 11.3779 10.4484
0.9234 1 0.9234 10001.1 12.0102 11.0943 10.1669
0.9215 1 0.9215 10000.9 11.7031 10.8003 9.87485
0.9196 1 0.9196 10000.9 11.4213 10.509 9.58564
0.9177 1 0.9177 10000.3 11.1614 10.2492 9.32785
0.9158 1 0.9158 10000.2 10.9156 9.99858 9.07933
0.9139 1 0.9139 10000.7 10.6868 9.76836 8.85118
0.912 1 0.912 10000 10.4682 9.54527 8.63006
0.9101 1 0.9101 10001.5 10.2605 9.33776 8.4239
0.9082 1 0.9082 10000.2 10.0739 9.15164 8.23907
0.9063 1 0.9063 10000 9.87896 8.95066 8.04018
0.9044 1 0.9044 10000.6 9.69415 8.76937 7.86
0.9025 1 0.9025 10001.6 9.50876 8.58746 7.68013
0.9006 1 0.9006 10000 9.33575 8.41191 7.50666
0.8987 1 0.8987 10000.3 9.11778 8.22688 7.32371
0.8968 1 0.8968 10000.1 8.89872 8.01996 7.11889
0.8949 1 0.8949 10000.5 8.694 7.82116 6.92218
0.893 1 0.893 10000.3 8.53603 7.64767 6.75079
0.8911 1 0.8911 10001.5 8.3937 7.49219 6.59742
