lambda mu traffic_load total_time waiting_by_job njob_avg nq_avg
0.95 1 0.95 10000.7 19.4634 18.4946 17.5496
0.9481 1 0.9481 10001.2 19.0009 18.0354 17.092
0.9462 1 0.9462 10000.8 18.5832 17.6007 16.6592
0.9443 1 0.9443 10001.4 18.1627 17.1777 16.2374
0.9424 1 0.9424 10000.7 17.7483 16.7586 15.8194
0.9405 1 0.9405 10000.8 17.3338 16.341 15.4031
0.9386 1 0.9386 10000.3 16.9329 15.9367 15.0001
0.9367 1 0.9367 10000.2 16.5596 15.5509 14.6157
0.9348 1 0.9348 10000.1 16.1903 15.175 14.2414
0.9329 1 0.9329 10001.9 15.8144 14.7912 13.8596
0.931 1 0.931 10000.1 15.4253 14.4043 13.4747
0.9291 1 0.9291 10001.4 15.0451 14.0129 13.0853
0.9272 1 0.9272 10000.5 14.6801 13.6376 12.7121
0.9253 1 0.9253 10000.1 14.3008 13.2663 12.3428
0.9234 1 0.9234 10001.2 13.9293 12.8935 11.972
0.9215 1 0.9215 10000.8 13.5623 12.5239 11.6044
0.9196 1 0.9196 10001.1 13.209 12.1731 11.2556
0.9177 1 0.9177 10000.1 12.8714 11.837 10.9217
0.9158 1 0.9158 10000.6 12.5753 11.5352 10.6219
0.9139 1 0.9139 10000.2 12.2987 11.2557 10.344
0.912 1 0.912 10000.4 12.0584 11.0121 10.1024
0.9101 1 0.9101 10000.1 11.8256 10.7768 9.8689
0.9082 1 0.9082 10000.6 11.5974 10.5437 9.63759
0.9063 1 0.9063 10002.6 11.3667 10.3136 9.40902
0.9044 1 0.9044 10000.3 11.1524 10.0947 9.19206
0.9025 1 0.9025 10000.3 10.94 9.88563 8.9845
0.9006 1 0.9006 10004.3 10.7278 9.67775 8.77815
0.8987 1 0.8987 10000.9 10.523 9.47789 8.57871
0.8968 1 0.8968 10000.4 10.3183 9.27391 8.37621
0.8949 1 0.8949 10000.9 10.113 9.07173 8.17541
0.893 1 0.893 10000.6 9.9283 8.88386 7.98889
0.8911 1 0.8911 10000 9.74694 8.70912 7.81629
0.8892 1 0.8892 10001.2 9.57988 8.54455 7.65282
0.8873 1 0.8873 10001.2 9.41895 8.38151 7.49184
0.8854 1 0.8854 10000.7 9.26587 8.22947 7.34189
0.8835 1 0.8835 10001.1 9.12326 8.08232 7.19628
0.8816 1 0.8816 10000.5 8.9804 7.94028 7.05584
0.8797 1 0.8797 10002.3 8.82389 7.78917 6.90685
0.8778 1 0.8778 10000.7 8.68654 7.64995 6.76953
0.8759 1 0.8759 10000.5 8.56051 7.52475 6.64632
