lambda mu traffic_load total_time waiting_by_job njob_avg nq_avg
0.95 1 0.95 10000.3 29.253 27.817 26.8618
0.9481 1 0.9481 10001 28.0526 26.6288 25.6754
0.9462 1 0.9462 10000.3 26.946 25.535 24.5836
0.9443 1 0.9443 10000.9 25.9398 24.5283 23.5788
0.9424 1 0.9424 10000.8 24.967 23.5509 22.6033
0.9405 1 0.9405 10000.4 24.0411 22.6079 21.6622
0.9386 1 0.9386 10000.1 23.0841 21.6618 20.7181
0.9367 1 0.9367 10000.3 22.1366 20.7294 19.7877
0.9348 1 0.9348 10000.1 21.1801 19.803 18.8632
0.9329 1 0.9329 10001.9 20.2643 18.8928 17.955
0.931 1 0.931 10000.3 19.35 18.0031 17.0673
0.9291 1 0.9291 10000.8 18.4441 17.1381 16.2042
0.9272 1 0.9272 10001.2 17.5574 16.2892 15.3574
0.9253 1 0.9253 10000 16.6946 15.4538 14.524
0.9234 1 0.9234 10000 15.8773 14.6552 13.7274
0.9215 1 0.9215 10000.6 15.153 13.9576 13.0318
0.9196 1 0.9196 10000.2 14.4521 13.2798 12.3561
0.9177 1 0.9177 10000.4 13.8756 12.7258 11.804
0.9158 1 0.9158 10000.6 13.3617 12.2336 11.3139
0.9139 1 0.9139 10000.2 12.8791 11.7519 10.8343
0.912 1 0.912 10000.4 12.4127 11.3037 10.3881
0.9101 1 0.9101 10000 11.9854 10.8875 9.97402
0.9082 1 0.9082 10000.8 11.5743 10.48 9.56857
0.9063 1 0.9063 10000.1 11.2259 10.128 9.21868
0.9044 1 0.9044 10000.2 11.0174 9.91844 9.01075
0.9025 1 0.9025 10000.4 10.8052 9.71044 8.80482
0.9006 1 0.9006 10000.3 10.6325 9.53693 8.63241
0.8987 1 0.8987 10000 10.4728 9.36876 8.46628
0.8968 1 0.8968 10000.3 10.3102 9.19949 8.29897
0.8949 1 0.8949 10000.1 10.1553 9.04236 8.14315
0.893 1 0.893 10000.1 10.0013 8.88808 7.99039
0.8911 1 0.8911 10002 9.84072 8.73021 7.83421
0.8892 1 0.8892 10000 9.68364 8.5748 7.68094
0.8873 1 0.8873 10000.1 9.52784 8.41677 7.52503
0.8854 1 0.8854 10000.2 9.36509 8.25363 7.36403
0.8835 1 0.8835 10000.1 9.20826 8.10323 7.21528
0.8816 1 0.8816 10000.4 9.05662 7.95088 7.0647
0.8797 1 0.8797 10000 8.90759 7.80606 6.92121
0.8778 1 0.8778 10000.1 8.76108 7.65993 6.77705
0.8759 1 0.8759 10000.4 8.61222 7.51242 6.63164
0.874 1 0.874 10000.6 8.4669 7.37067 6.49201
0.8721 1 0.8721 10001.9 8.30895 7.21963 6.34306
0.8702 1 0.8702 10000.2 8.14524 7.06295 6.18854
0.8683 1 0.8683 10000.1 7.98358 6.90722 6.03495
0.8664 1 0.8664 10001.1 7.83652 6.7659 5.89578
0.8645 1 0.8645 10000.9 7.7079 6.63748 5.76951
0.8626 1 0.8626 10000.4 7.57871 6.51634 5.65055
0.8607 1 0.8607 10000.2 7.45448 6.3959 5.53229
0.8588 1 0.8588 10000.1 7.34614 6.28702 5.42561
0.8569 1 0.8569 10000.1 7.2269 6.17284 5.31363
