lambda mu traffic_load total_time waiting_by_job njob_avg nq_avg
0.95 1 0.95 10000.3 16.2565 15.2514 14.3085
0.9481 1 0.9481 10000.4 15.7493 14.7431 13.8021
0.9462 1 0.9462 10000.4 15.2608 14.2561 13.3172
0.9443 1 0.9443 10000.1 14.9295 13.9144 12.9774
0.9424 1 0.9424 10000.4 14.6211 13.5961 12.6612
0.9405 1 0.9405 10001.1 14.3136 13.2878 12.3548
0.9386 1 0.9386 10000.5 14.0093 12.9834 12.0519
0.9367 1 0.9367 10003.1 13.7016 12.6769 11.7471
0.9348 1 0.9348 10000 13.4073 12.3869 11.4586
0.9329 1 0.9329 10000.4 13.104 12.0876 11.1612
0.931 1 0.931 10001.3 12.7928 11.7898 10.8653
0.9291 1 0.9291 10000.7 12.4932 11.4848 10.5622
0.9272 1 0.9272 10000 12.218 11.1993 10.2786
0.9253 1 0.9253 10000.3 11.9741 10.9544 10.0357
0.9234 1 0.9234 10002.1 11.7472 10.7258 9.80908
0.9215 1 0.9215 10000 11.5364 10.5122 9.5975
0.9196 1 0.9196 10000.2 11.3358 10.3077 9.39479
0.9177 1 0.9177 10000.7 11.1372 10.1016 9.19069
0.9158 1 0.9158 10000.3 10.955 9.91637 9.00742
0.9139 1 0.9139 10000.1 10.7819 9.74286 8.83593
0.912 1 0.912 10000.2 10.6243 9.57294 8.66809
0.9101 1 0.9101 10000.3 10.4688 9.41342 8.51044
0.9082 1 0.9082 10003 10.3034 9.2517 8.35071
0.9063 1 0.9063 10000.5 10.1163 9.06615 8.1672
0.9044 1 0.9044 10000.6 9.94875 8.89655 7.99962
0.9025 1 0.9025 10000.2 9.78758 8.73266 7.83776
0.9006 1 0.9006 10001 9.62246 8.57439 7.68152
0.8987 1 0.8987 10000.5 9.41351 8.40028 7.50946
0.8968 1 0.8968 10000 9.18472 8.20489 7.31615
0.8949 1 0.8949 10000.4 8.9657 7.99589 7.1092
0.893 1 0.893 10000.6 8.77504 7.78909 6.90448
0.8911 1 0.8911 10000.4 8.60127 7.59691 6.71439
