lambda mu traffic_load total_time waiting_by_job njob_avg nq_avg
0.95 1 0.95 10001.1 12.2943 11.734 10.8015
0.9481 1 0.9481 10001.1 12.0246 11.4471 10.5165
0.9462 1 0.9462 10001.1 11.7761 11.1845 10.2558
0.9443 1 0.9443 10000.5 11.5396 10.9324 10.0057
0.9424 1 0.9424 10000.1 11.3062 10.69 9.76525
0.9405 1 0.9405 10000.6 11.0871 10.4478 9.52494
0.9386 1 0.9386 10000.8 10.8847 10.2378 9.31693
0.9367 1 0.9367 10000.6 10.6806 10.0307 9.11182
0.9348 1 0.9348 10000.3 10.485 9.82496 8.90803
0.9329 1 0.9329 10000.4 10.2812 9.62614 8.71119
0.931 1 0.931 10000 10.0917 9.43337 8.5204
0.9291 1 0.9291 10001.1 9.91119 9.24924 8.33826
0.9272 1 0.9272 10000.2 9.69336 9.04591 8.13694
0.9253 1 0.9253 10000.8 9.49424 8.84358 7.93661
0.9234 1 0.9234 10000.7 9.3035 8.65128 7.74633
0.9215 1 0.9215 10000.2 9.09395 8.44768 7.54476
0.9196 1 0.9196 10000.8 8.90123 8.25062 7.34972
0.9177 1 0.9177 10000.2 8.71364 8.06033 7.16148
0.9158 1 0.9158 10000 8.53154 7.87685 6.98005
0.9139 1 0.9139 10002.6 8.3643 7.69884 6.80408
0.912 1 0.912 10000.6 8.18178 7.52147 6.6288
0.9101 1 0.9101 10001.6 8.01683 7.3459 6.45529
0.9082 1 0.9082 10000.8 7.87817 7.19149 6.30298
0.9063 1 0.9063 10000.3 7.75769 7.06709 6.18036
0.9044 1 0.9044 10000.6 7.64855 6.94979 6.06499
0.9025 1 0.9025 10000 7.54412 6.84138 5.95802
0.9006 1 0.9006 10001.4 11.0611 10.1438 9.2263
0.8987 1 0.8987 10000 10.8523 9.93452 9.01894
0.8968 1 0.8968 10000.2 10.6565 9.73199 8.81851
0.8949 1 0.8949 10000.4 10.4684 9.53236 8.621
0.893 1 0.893 10000.6 10.2924 9.35551 8.44608
0.8911 1 0.8911 10000.1 10.1232 9.18379 8.27596
0.8892 1 0.8892 10000.3 9.9582 9.01401 8.10801
0.8873 1 0.8873 10000.2 9.80127 8.85799 7.95376
0.8854 1 0.8854 10000.4 9.64817 8.69814 7.7958
0.8835 1 0.8835 10000.2 9.4959 8.54099 7.6407
0.8816 1 0.8816 10000.9 9.34459 8.38416 7.48588
0.8797 1 0.8797 10000.7 9.19815 8.23542 7.3388
0.8778 1 0.8778 10001.6 9.05387 8.09215 7.19704
0.8759 1 0.8759 10000.1 8.90839 7.95244 7.05927
0.874 1 0.874 10000.3 8.7851 7.82399 6.93291
