lambda mu traffic_load total_time waiting_by_job njob_avg nq_avg
0.95 1 0.95 10000.6 13.5818 12.8204 11.8844
0.9481 1 0.9481 10000.2 13.2926 12.5193 11.5853
0.9462 1 0.9462 10000.1 13.0324 12.2479 11.3155
0.9443 1 0.9443 10002.4 12.7673 11.9844 11.0535
0.9424 1 0.9424 10000.9 12.5231 11.7302 10.801
0.9405 1 0.9405 10000.7 12.2743 11.4806 10.5528
0.9386 1 0.9386 10000.2 12.0262 11.2272 10.3013
0.9367 1 0.9367 10000.4 11.766 10.9618 10.0379
0.9348 1 0.9348 10000.9 11.5183 10.7064 9.7845
0.9329 1 0.9329 10001.1 11.2782 10.4607 9.54082
0.931 1 0.931 10000 11.0419 10.2229 9.30502
0.9291 1 0.9291 10000.2 10.7913 9.97058 9.05477
0.9272 1 0.9272 10000.3 10.5636 9.74455 8.83077
0.9253 1 0.9253 10000.3 10.3638 9.53719 8.62546
0.9234 1 0.9234 10000.1 10.179 9.34821 8.43853
0.9215 1 0.9215 10000.1 10.0085 9.17371 8.2659
0.9196 1 0.9196 10000.6 9.84722 9.00965 8.10299
0.9177 1 0.9177 10001.5 9.68635 8.84119 7.93652
0.9158 1 0.9158 10000.4 9.53227 8.68084 7.77788
0.9139 1 0.9139 10001.7 9.37995 8.52129 7.6196
0.912 1 0.912 10001 9.22112 8.36276 7.46268
0.9101 1 0.9101 10000.5 9.06693 8.20997 7.31165
0.9082 1 0.9082 10000.1 8.91739 8.06303 7.16594
0.9063 1 0.9063 10001.1 8.78562 7.92661 7.0316
0.9044 1 0.9044 10000.4 8.66212 7.79826 6.90529
0.9025 1 0.9025 10000.5 8.54044 7.67068 6.77979
0.9006 1 0.9006 10002.3 8.42373 7.55183 6.6625
0.8987 1 0.8987 10001.1 8.31263 7.43898 6.55084
0.8968 1 0.8968 10000.2 8.20069 7.3272 6.44038
0.8949 1 0.8949 10001.2 8.09007 7.21142 6.32643
0.893 1 0.893 10000.5 7.97957 7.10389 6.21975
0.8911 1 0.8911 10000.8 7.87143 6.99635 6.11328
0.8892 1 0.8892 10000.8 7.763 6.87998 5.99878
0.8873 1 0.8873 10000.3 7.65343 6.77055 5.8912
