time njob nq
0 1 0
0.224055 2 1
0.895617 3 2
1.30912 2 1
1.61915 1 0
2.96283 2 1
3.1817 1 0
3.27708 0 0
7.09505 1 0
7.2379 0 0
14.5028 1 0
14.5745 0 0
18.7974 1 0
19.088 0 0
20.8418 1 0
21.4127 0 0
29.2138 1 0
29.6349 0 0
31.8045 1 0
33.362 0 0
33.5436 1 0
33.9456 0 0
39.0905 1 0
39.1667 0 0
45.7729 1 0
46.2374 0 0
50.4578 1 0
52.607 0 0
52.8135 1 0
53.3942 0 0
64.7456 1 0
65.3828 0 0
69.7737 1 0
69.8613 0 0
79.7788 1 0
80.0986 0 0
80.8123 1 0
81.4361 2 1
83.5564 1 0
83.9356 0 0
91.0375 1 0
91.134 0 0
101.832 1 0
102.23 0 0
109.145 1 0
111.91 0 0
120.717 1 0
122.742 2 1
123.415 1 0
124.134 0 0
124.694 1 0
125.962 0 0
127.965 1 0
127.995 0 0
136.316 1 0
137.187 0 0
139.651 1 0
140.583 0 0
151.859 1 0
152.015 0 0
152.661 1 0
153.676 2 1
154.48 1 0
155.45 0 0
156.928 1 0
157.263 0 0
173.347 1 0
176.307 0 0
177.211 1 0
177.853 0 0
179.312 1 0
180.12 0 0
190.258 1 0
190.96 0 0
191.59 1 0
192.144 2 1
192.472 1 0
192.628 2 1
194.452 1 0
197.366 0 0
199.49 1 0
200.226 0 0
200.358 1 0
202.472 2 1
204.872 1 0
207.666 0 0
209.26 1 0
209.5 0 0
220.596 1 0
220.628 0 0
224.175 1 0
225.589 2 1
225.752 1 0
227.048 0 0
227.4 1 0
227.754 0 0
236.272 1 0
236.475 0 0
238.281 1 0
238.866 0 0
240.535 1 0
240.866 0 0
242.211 1 0
242.443 0 0
249.928 1 0
250.549 0 0
252.302 1 0
252.493 0 0
252.701 1 0
253.439 0 0
258.446 1 0
259.005 0 0
260.266 1 0
260.868 0 0
268.735 1 0
270.728 0 0
271.241 1 0
273.772 0 0
273.958 1 0
274.217 0 0
274.67 1 0
275.314 0 0
276.884 1 0
278.355 0 0
289.884 1 0
289.974 0 0
290.867 1 0
292.563 0 0
294.396 1 0
294.5 0 0
301.665 1 0
301.804 0 0
304.827 1 0
305.059 0 0
309.314 1 0
309.809 0 0
316.276 1 0
317.025 0 0
322.401 1 0
323.43 0 0
329.4 1 0
329.878 0 0
336.12 1 0
336.174 0 0
338.523 1 0
340.495 0 0
364.99 1 0
366.724 0 0
371.27 1 0
372.053 2 1
372.906 1 0
373.829 0 0
375.207 1 0
375.471 0 0
376.848 1 0
377.091 2 1
377.118 1 0
377.521 2 1
379.11 1 0
379.343 0 0
380.121 1 0
381.827 0 0
392.537 1 0
393.453 0 0
393.843 1 0
393.909 0 0
395.114 1 0
395.524 2 1
397.972 1 0
398.561 2 1
399.28 1 0
400.724 0 0
405.922 1 0
407.955 0 0
412.16 1 0
412.397 0 0
414.9 1 0
416.363 0 0
416.768 1 0
417.608 0 0
435.535 1 0
436.034 0 0
440.03 1 0
440.064 0 0
441.304 1 0
441.373 0 0
455.191 1 0
455.616 2 1
456.041 1 0
459.804 0 0
460.753 1 0
461.004 0 0
464.579 1 0
465.493 0 0
466.323 1 0
467.408 0 0
471.526 1 0
472.539 0 0
475.296 1 0
475.837 0 0
476.372 1 0
477.211 0 0
482.659 1 0
483.407 0 0
485.15 1 0
485.644 0 0
487.565 1 0
487.577 0 0
504.322 1 0
505.139 2 1
505.418 1 0
505.435 0 0
508.507 1 0
509.108 0 0
515.054 1 0
517.783 0 0
525.349 1 0
525.588 0 0
534.665 1 0
535.025 2 1
535.138 1 0
535.51 0 0
542.67 1 0
543.07 0 0
560.496 1 0
560.677 0 0
561.817 1 0
562.239 0 0
563.375 1 0
564.151 2 1
564.51 1 0
564.606 0 0
568.448 1 0
568.457 0 0
571.076 1 0
571.224 0 0
574.255 1 0
574.631 0 0
584.896 1 0
585.232 0 0
590.558 1 0
591.278 0 0
598.666 1 0
599.033 0 0
599.107 1 0
600.376 0 0
610.586 1 0
611.167 0 0
624.152 1 0
624.616 0 0
626.21 1 0
626.835 0 0
631.753 1 0
633.026 0 0
640.287 1 0
641.554 0 0
653.557 1 0
654.807 0 0
666.193 1 0
667.834 2 1
668.361 3 2
668.434 2 1
670.842 1 0
673.943 0 0
676.406 1 0
677.081 0 0
678.257 1 0
678.282 0 0
681.168 1 0
684.927 0 0
686.888 1 0
687.751 0 0
688.396 1 0
689.739 0 0
690.561 1 0
692.077 2 1
692.143 1 0
694.445 0 0
700.01 1 0
700.241 2 1
700.525 1 0
701.777 0 0
705.075 1 0
705.513 2 1
707.146 1 0
707.173 0 0
707.984 1 0
708.334 0 0
713.67 1 0
716.016 0 0
716.128 1 0
717.622 0 0
719.042 1 0
719.064 0 0
726.095 1 0
727.372 0 0
730.149 1 0
730.276 2 1
732.354 3 2
732.637 2 1
734.423 1 0
735.588 0 0
736.793 1 0
736.965 0 0
740.999 1 0
741.274 0 0
748.203 1 0
748.259 0 0
748.462 1 0
749.569 0 0
751.276 1 0
751.775 0 0
765.953 1 0
768.07 0 0
772.297 1 0
773.306 2 1
774.252 1 0
774.277 0 0
776.631 1 0
777.791 0 0
781.024 1 0
783.063 0 0
784.54 1 0
785.019 2 1
785.661 1 0
786.778 0 0
792.722 1 0
794.435 0 0
797.463 1 0
797.624 2 1
798.546 1 0
799.099 0 0
805.7 1 0
806.985 0 0
812.913 1 0
812.922 0 0
816.44 1 0
816.922 0 0
825.115 1 0
825.789 2 1
826.729 3 2
827.239 2 1
828.35 1 0
829.554 0 0
829.715 1 0
833.384 2 1
833.46 1 0
835.683 0 0
835.763 1 0
836.401 0 0
838.58 1 0
838.849 0 0
839.166 1 0
839.403 0 0
857.75 1 0
858.43 0 0
858.9 1 0
859.574 0 0
860.246 1 0
860.758 0 0
869.287 1 0
870.124 0 0
874.338 1 0
874.481 2 1
876.495 1 0
876.891 0 0
880.688 1 0
881.126 2 1
882.057 3 2
882.491 2 1
882.492 1 0
882.828 0 0
888.631 1 0
889.358 0 0
895.601 1 0
896.007 0 0
898.672 1 0
899.542 0 0
905.559 1 0
906.655 0 0
911.357 1 0
911.46 0 0
922.811 1 0
922.818 0 0
932.263 1 0
934.75 2 1
936.618 3 2
937.755 2 1
938.192 1 0
938.266 0 0
940.163 1 0
940.565 0 0
941.196 1 0
944.1 0 0
955.921 1 0
956.641 0 0
966.286 1 0
967.538 0 0
967.847 1 0
967.908 0 0
970.771 1 0
971.282 0 0
972.554 1 0
973.246 0 0
978.403 1 0
979.509 2 1
979.949 1 0
979.969 0 0
998.714 1 0
1000.06 0 0
1014.94 1 0
1015.04 0 0
1021.28 1 0
1022.2 0 0
1033.44 1 0
1034.96 0 0
1036.25 1 0
1036.91 2 1
1037.69 1 0
1038.6 0 0
1040.89 1 0
1042.73 2 1
1044.83 1 0
1045.06 0 0
1049.38 1 0
1050.23 0 0
1069.94 1 0
1071.72 0 0
1076.32 1 0
1076.39 0 0
1081.46 1 0
1083.19 0 0
1088.5 1 0
1088.93 0 0
1092.27 1 0
1095.18 2 1
1095.9 1 0
1095.93 0 0
1108.77 1 0
1109 0 0
1109.48 1 0
1112.88 0 0
1114.05 1 0
1114.41 0 0
1119.83 1 0
1120.88 0 0
1128.79 1 0
1128.86 0 0
1133.53 1 0
1134.26 0 0
1136.51 1 0
1138.03 0 0
1141.65 1 0
1143.04 0 0
1148.14 1 0
1148.5 0 0
1152.84 1 0
1154.07 0 0
1157.29 1 0
1158.15 0 0
1161.55 1 0
1162.31 0 0
1163.67 1 0
1165.62 2 1
1165.67 3 2
1165.69 4 3
1167.86 3 2
1167.96 2 1
1168.43 1 0
1169.89 0 0
1171.73 1 0
1171.79 0 0
1172.25 1 0
1172.53 0 0
1183.08 1 0
1184.09 0 0
1185.49 1 0
1187.62 0 0
1187.72 1 0
1187.79 0 0
1189.01 1 0
1190.36 0 0
1191.87 1 0
1193.03 0 0
1204.08 1 0
1204.94 2 1
1205.17 3 2
