time njob nq
0 1 0
0.149865 2 1
0.599055 3 2
1.30912 2 1
1.61915 1 0
1.98176 2 1
3.1817 1 0
3.27708 0 0
4.74569 1 0
4.88855 0 0
9.70054 1 0
9.77227 0 0
12.5731 1 0
12.8637 0 0
13.9405 1 0
14.5115 0 0
19.5404 1 0
19.9615 0 0
21.2732 1 0
22.4365 2 1
22.8307 1 0
23.2326 0 0
26.1466 1 0
26.2228 0 0
30.6163 1 0
31.0808 0 0
33.7499 1 0
35.3256 2 1
35.8991 1 0
36.4798 0 0
43.3066 1 0
43.9439 0 0
46.6698 1 0
46.7574 0 0
53.3619 1 0
53.6818 0 0
54.0533 1 0
54.4705 2 1
56.7974 1 0
57.1765 0 0
60.8926 1 0
60.9892 0 0
68.1125 1 0
68.5111 0 0
73.004 1 0
75.7693 0 0
80.7446 1 0
82.0991 2 1
83.4049 3 2
83.4424 2 1
84.1618 1 0
85.4291 0 0
85.5923 1 0
85.6224 0 0
91.1784 1 0
92.0491 0 0
93.4089 1 0
94.3405 0 0
101.574 1 0
101.731 0 0
102.111 1 0
102.79 2 1
103.93 1 0
104.9 0 0
104.965 1 0
105.3 0 0
115.947 1 0
118.532 2 1
118.908 1 0
119.549 0 0
119.937 1 0
120.746 0 0
127.259 1 0
127.961 0 0
128.15 1 0
128.52 2 1
128.844 3 2
129.031 2 1
131.011 1 0
133.434 2 1
133.925 1 0
134.014 2 1
134.661 1 0
135.428 2 1
139.175 1 0
139.968 2 1
141.969 1 0
142.209 0 0
147.551 1 0
147.583 0 0
149.945 1 0
150.891 2 1
151.521 1 0
152.102 2 1
152.818 1 0
153.172 0 0
158.036 1 0
158.239 0 0
159.38 1 0
159.965 0 0
160.887 1 0
161.219 0 0
162.009 1 0
162.24 0 0
167.17 1 0
167.791 0 0
168.759 1 0
168.949 0 0
169.025 1 0
169.763 0 0
172.868 1 0
173.427 0 0
174.085 1 0
174.687 0 0
179.75 1 0
181.426 2 1
181.742 1 0
183.243 2 1
183.72 3 2
184.274 2 1
184.533 1 0
185.177 0 0
185.201 1 0
186.671 0 0
193.896 1 0
193.986 0 0
194.554 1 0
196.25 0 0
196.914 1 0
197.018 0 0
201.776 1 0
201.915 0 0
203.891 1 0
204.123 0 0
206.892 1 0
207.387 0 0
211.549 1 0
212.298 0 0
215.646 1 0
216.674 0 0
220.327 1 0
220.805 0 0
224.822 1 0
224.876 0 0
226.429 1 0
228.402 0 0
244.133 1 0
245.866 0 0
248.333 1 0
248.856 2 1
249.969 1 0
250.892 0 0
250.967 1 0
251.23 0 0
252.064 1 0
252.226 2 1
252.334 1 0
252.514 2 1
254.253 3 2
254.326 2 1
254.559 1 0
256.265 0 0
262.558 1 0
263.431 2 1
263.474 1 0
263.54 0 0
264.282 1 0
