time njob nq
187.756 30 29
187.968 31 30
188.111 30 29
188.748 29 28
189.018 28 27
189.254 27 26
189.934 26 25
190.608 25 24
191.119 24 23
191.653 25 24
191.957 24 23
194.113 23 22
194.51 22 21
194.767 23 22
195.983 24 23
196.313 23 22
196.315 22 21
196.65 21 20
197.377 20 19
197.782 19 18
198.317 20 19
198.653 19 18
198.857 20 19
198.982 21 20
199.746 22 21
199.749 21 20
199.852 20 19
199.859 19 18
200.1 20 19
201.376 21 20
205.322 22 21
205.351 21 20
205.788 20 19
205.862 19 18
206.263 18 17
206.546 19 18
207.532 20 19
208.883 21 20
209.167 20 19
209.608 21 20
209.887 20 19
210.166 21 20
211.139 20 19
211.2 19 18
211.711 18 17
212.403 17 16
212.773 18 17
212.909 19 18
213.786 20 19
213.948 19 18
213.968 18 17
214.895 19 18
215.315 18 17
215.411 17 16
216.335 16 15
216.615 17 16
217.524 18 17
217.857 17 16
218.096 18 17
219.082 19 18
219.298 18 17
220.206 17 16
220.327 18 17
221.23 19 18
222.084 20 19
222.902 21 20
223.308 22 21
223.682 23 22
223.692 24 23
223.695 25 24
224.153 24 23
224.373 23 22
224.855 24 23
224.956 25 24
225.23 24 23
227.007 23 22
227.032 24 23
227.075 23 22
227.496 24 23
227.923 25 24
228.171 26 25
228.721 27 26
228.803 26 25
229.235 25 24
231.063 26 25
231.229 27 26
231.273 28 27
231.782 29 28
231.801 30 29
232.096 31 30
232.857 32 31
232.862 31 30
232.894 30 29
233.125 29 28
234.401 30 29
234.424 31 30
235.245 32 31
235.431 33 32
236.525 32 31
236.88 31 30
237.935 30 29
237.998 29 28
238.041 30 29
238.266 31 30
238.731 30 29
239.024 31 30
239.276 32 31
239.292 33 32
239.623 34 33
240.099 35 34
240.253 34 33
240.613 35 34
241.649 34 33
242.015 33 32
243.242 32 31
244.103 31 30
244.351 32 31
244.677 33 32
244.865 32 31
245.624 33 32
247.814 34 33
249.027 35 34
249.057 34 33
249.156 33 32
249.627 32 31
250.234 33 32
251.09 32 31
251.148 31 30
251.429 30 29
252.439 29 28
254.017 30 29
254.563 29 28
254.629 28 27
255.337 29 28
255.974 28 27
256.485 29 28
256.645 30 29
257.134 29 28
258.094 30 29
259.106 31 30
259.335 30 29
260.478 29 28
260.537 28 27
261.772 27 26
262.042 26 25
262.176 25 24
262.591 24 23
263.493 23 22
264.069 24 23
264.158 23 22
264.389 24 23
264.762 23 22
264.789 22 21
265.07 23 22
265.176 24 23
265.897 23 22
266.287 24 23
266.416 25 24
268.134 24 23
269.44 23 22
269.876 24 23
269.898 23 22
270.266 22 21
272.251 21 20
272.318 20 19
272.976 21 20
273.591 22 21
273.991 21 20
274.509 20 19
274.816 19 18
275.455 20 19
275.597 19 18
275.906 18 17
276.708 19 18
277.009 20 19
277.234 19 18
278.249 18 17
278.25 17 16
278.513 16 15
278.72 15 14
279.025 14 13
279.672 15 14
280.275 14 13
281.255 15 14
281.974 14 13
282.788 15 14
283.671 16 15
283.949 15 14
284.068 14 13
286.586 13 12
287.476 14 13
287.573 13 12
287.631 12 11
288.753 11 10
289.041 10 9
289.777 9 8
289.908 8 7
290.958 7 6
290.978 6 5
291.265 5 4
291.477 4 3
291.583 5 4
292.236 4 3
292.734 3 2
294.481 4 3
295.566 5 4
296.214 4 3
296.742 5 4
297.734 4 3
297.784 3 2
298.337 2 1
299.321 1 0
299.36 2 1
299.625 3 2
299.651 2 1
300.145 3 2
300.328 2 1
301.064 3 2
303.014 4 3
304.607 3 2
304.855 2 1
305.213 1 0
305.216 2 1
305.606 3 2
305.962 4 3
306.341 5 4
307.446 6 5
307.689 5 4
307.79 6 5
308.363 7 6
308.481 8 7
308.487 7 6
309.22 8 7
310.438 9 8
310.532 10 9
311.294 9 8
311.633 10 9
312.701 11 10
312.706 12 11
313.433 13 12
313.658 12 11
313.893 11 10
314.761 12 11
315.865 11 10
316.056 10 9
317.332 9 8
317.381 8 7
318.036 7 6
318.129 8 7
318.549 7 6
319.007 8 7
319.316 9 8
319.968 10 9
320.954 9 8
321.818 10 9
321.882 11 10
322.2 10 9
322.427 9 8
323.019 10 9
325.388 9 8
325.421 8 7
325.97 9 8
326.418 10 9
327.016 9 8
327.444 8 7
328.433 7 6
329.176 8 7
329.92 7 6
330.622 8 7
331.417 7 6
333.015 8 7
334.1 7 6
334.39 6 5
334.815 7 6
335.193 6 5
335.761 7 6
335.801 6 5
336.337 7 6
336.405 8 7
337.02 7 6
337.034 6 5
337.788 7 6
339.406 8 7
339.563 9 8
340.613 10 9
340.689 11 10
341.055 12 11
342.272 11 10
342.628 10 9
342.704 9 8
343.022 10 9
343.502 11 10
344.126 10 9
344.48 9 8
345.46 8 7
346.311 9 8
346.49 10 9
347.095 11 10
347.704 10 9
347.82 9 8
348.429 8 7
348.759 9 8
349.566 8 7
349.713 7 6
349.987 8 7
350.185 9 8
350.383 8 7
350.766 9 8
350.802 10 9
350.837 9 8
351.296 10 9
351.728 9 8
352.295 8 7
353.048 9 8
353.155 10 9
354.69 11 10
355.326 12 11
356.066 13 12
357.488 12 11
359.128 11 10
359.333 10 9
359.848 11 10
360.005 10 9
360.195 9 8
360.55 8 7
361.747 7 6
362.07 8 7
362.153 9 8
362.228 8 7
362.488 9 8
363.28 8 7
363.84 9 8
363.976 10 9
364.789 11 10
365.06 10 9
365.469 9 8
366.198 10 9
366.77 9 8
366.787 10 9
367.327 11 10
367.796 10 9
367.81 11 10
368.43 10 9
368.736 11 10
368.887 12 11
369.453 13 12
369.747 12 11
370.128 13 12
370.492 14 13
371.027 13 12
371.444 12 11
372.547 13 12
373.232 12 11
373.351 13 12
373.548 12 11
373.61 11 10
373.813 10 9
374.414 9 8
374.75 8 7
376.051 7 6
376.282 8 7
376.627 9 8
376.683 10 9
376.914 11 10
376.923 12 11
377.575 13 12
377.816 14 13
378.698 15 14
379.529 16 15
379.719 17 16
379.834 18 17
380.113 17 16
381.179 18 17
383.865 19 18
384.281 20 19
384.542 21 20
384.575 22 21
384.626 23 22
384.939 24 23
386.034 25 24
386.847 24 23
386.987 23 22
388.105 22 21
390.435 23 22
390.472 24 23
390.866 23 22
391.351 24 23
391.366 23 22
391.512 22 21
391.789 23 22
391.936 22 21
392.491 23 22
392.615 24 23
392.673 23 22
393.711 24 23
394.199 23 22
394.755 22 21
394.877 21 20
394.924 22 21
395.165 21 20
395.508 22 21
395.668 21 20
396.645 20 19
397.477 19 18
397.845 18 17
398.167 17 16
398.258 18 17
398.71 17 16
398.787 18 17
399.653 19 18
399.793 18 17
399.864 17 16
400.547 18 17
400.828 19 18
401.332 20 19
402.015 19 18
402.038 18 17
402.499 19 18
402.506 20 19
403.627 19 18
404.267 18 17
405.139 17 16
405.544 18 17
405.814 17 16
406.055 18 17
406.439 19 18
407.02 18 17
407.376 17 16
407.751 18 17
408.581 19 18
408.951 20 19
409.562 21 20
411.631 22 21
411.636 21 20
414.153 20 19
414.433 19 18
414.787 18 17
415.006 17 16
415.747 16 15
415.852 15 14
