time njob nq
0 1 0
0.0597018 0 0
0.0753484 1 0
0.0762642 0 0
1.99335 1 0
3.79064 2 1
4.40368 1 0
4.40533 0 0
5.58912 1 0
6.12165 2 1
7.54492 3 2
7.54513 4 3
8.49912 3 2
8.57229 2 1
8.67749 3 2
9.09 4 3
9.8156 5 4
9.82159 6 5
9.98741 5 4
10.1703 6 5
10.2393 7 6
10.2639 8 7
10.662 9 8
12.8299 10 9
13.3156 9 8
13.4007 10 9
15.633 11 10
15.6797 10 9
15.9706 11 10
16.3875 10 9
18.0141 9 8
18.3529 8 7
19.5873 7 6
20.0754 6 5
20.14 5 4
20.2636 4 3
22.2947 3 2
22.5603 2 1
22.9306 3 2
22.996 2 1
23.8901 1 0
24.8287 0 0
26.2326 1 0
27.4656 0 0
29.5364 1 0
30.1364 0 0
30.6351 1 0
30.8817 0 0
31.5619 1 0
31.7872 0 0
36.5829 1 0
36.6057 2 1
37.5602 3 2
37.6757 2 1
38.2864 3 2
38.636 2 1
39.599 1 0
40.7522 0 0
41.0482 1 0
41.9176 0 0
45.2921 1 0
45.9833 0 0
48.9709 1 0
49.6441 2 1
50.0026 1 0
50.2808 2 1
50.3831 3 2
52.7989 4 3
52.9462 3 2
53.3855 4 3
53.4098 3 2
53.9354 2 1
54.8514 3 2
55.6842 4 3
56.0366 3 2
56.2596 2 1
56.7708 3 2
57.0982 2 1
58.3527 3 2
58.841 4 3
60.812 3 2
60.9922 4 3
61.5143 3 2
61.599 4 3
63.1752 3 2
65.3013 2 1
65.4905 1 0
66.3013 0 0
66.9251 1 0
67.6571 0 0
70.0208 1 0
70.1604 0 0
70.2603 1 0
71.529 0 0
71.6809 1 0
72.0575 2 1
72.4352 1 0
72.4672 0 0
74.8102 1 0
75.2213 2 1
75.6229 1 0
77.2414 2 1
77.5757 1 0
78.071 0 0
82.8922 1 0
84.418 2 1
84.6271 3 2
84.9722 4 3
85.4523 5 4
86.7212 6 5
86.817 5 4
87.5128 4 3
88.1944 5 4
88.2258 4 3
89.1728 5 4
90.9954 4 3
91.3042 3 2
91.8592 4 3
91.9379 3 2
93.2301 4 3
93.5321 3 2
94.3304 2 1
95.5711 3 2
95.8061 2 1
96.5022 3 2
96.6266 2 1
97.408 3 2
99.5878 2 1
99.9606 1 0
100.564 0 0
101.128 1 0
101.45 0 0
105.869 1 0
106.434 2 1
106.684 3 2
106.727 2 1
107.425 1 0
107.982 2 1
108.449 3 2
109.06 2 1
110.286 1 0
110.682 0 0
111.053 1 0
111.618 2 1
111.698 1 0
112.894 0 0
113.377 1 0
113.47 0 0
119.085 1 0
120.699 2 1
121.379 3 2
121.52 2 1
123.786 1 0
124.201 2 1
124.263 3 2
124.687 2 1
125.828 3 2
126.026 2 1
126.734 1 0
127.195 0 0
128.188 1 0
128.337 0 0
128.53 1 0
128.925 2 1
128.973 1 0
129.729 0 0
131.589 1 0
132.152 0 0
133.417 1 0
133.549 0 0
134.606 1 0
134.885 2 1
135.711 3 2
135.892 2 1
136.471 3 2
137.473 2 1
140.017 1 0
141.417 2 1
141.775 1 0
142.519 2 1
143.124 1 0
143.159 0 0
143.957 1 0
145.277 0 0
146.514 1 0
147.827 0 0
151.346 1 0
152.672 2 1
153.07 3 2
153.449 2 1
155.111 1 0
155.245 2 1
157.733 1 0
157.737 2 1
158.145 3 2
158.663 2 1
159.135 3 2
159.26 4 3
159.367 5 4
160.488 6 5
160.637 7 6
162.468 6 5
163.816 7 6
164.001 6 5
164.268 5 4
164.313 6 5
168.078 5 4
168.153 6 5
168.18 7 6
168.262 8 7
168.653 7 6
169.118 6 5
170.721 7 6
171.665 6 5
175.259 5 4
176.317 6 5
176.729 5 4
177.018 6 5
178.204 5 4
178.248 4 3
178.394 5 4
178.725 6 5
178.99 5 4
179.511 6 5
179.757 5 4
180.21 4 3
180.266 3 2
180.48 4 3
182.454 5 4
182.98 6 5
183.074 7 6
183.702 6 5
184.758 5 4
185.437 4 3
187.141 3 2
187.146 2 1
187.226 1 0
188.179 0 0
188.489 1 0
191.465 2 1
191.871 1 0
191.913 0 0
194.597 1 0
195.089 2 1
196.612 1 0
196.926 2 1
198.366 1 0
199.416 0 0
199.708 1 0
201.018 2 1
201.562 3 2
201.6 4 3
201.959 5 4
202.067 4 3
202.945 5 4
203.012 4 3
203.552 5 4
204.483 4 3
205.568 3 2
208.138 4 3
208.264 3 2
208.541 2 1
209.256 3 2
210.864 4 3
210.913 3 2
213.567 2 1
214.138 1 0
214.377 0 0
215.93 1 0
215.984 2 1
216.117 1 0
216.165 2 1
216.609 1 0
217.203 2 1
217.384 1 0
217.45 0 0
219.817 1 0
220.033 2 1
220.867 3 2
225.714 2 1
225.97 1 0
226.486 0 0
229.967 1 0
230.397 0 0
231.685 1 0
232.295 2 1
232.917 3 2
232.949 4 3
232.973 3 2
233.677 2 1
235.286 1 0
236.271 2 1
236.406 3 2
236.743 4 3
236.85 5 4
237.827 6 5
238.323 5 4
238.478 6 5
238.783 5 4
238.875 6 5
238.958 5 4
239.054 4 3
239.519 5 4
240.489 4 3
242.012 3 2
242.467 2 1
243.294 1 0
244.398 2 1
244.456 3 2
244.629 2 1
244.819 1 0
245.152 0 0
248.085 1 0
248.231 0 0
248.884 1 0
249.294 0 0
249.838 1 0
249.852 0 0
250.096 1 0
250.301 0 0
250.645 1 0
251.269 0 0
254.446 1 0
254.631 2 1
254.848 1 0
255.229 0 0
260.748 1 0
261.192 2 1
261.334 3 2
263.675 2 1
264.174 1 0
268.249 0 0
273.064 1 0
273.398 0 0
275.616 1 0
276.441 2 1
276.627 3 2
277.549 4 3
278.141 3 2
279.764 2 1
280.699 1 0
281.112 0 0
285.297 1 0
285.441 2 1
285.495 1 0
286.121 2 1
286.645 3 2
287.215 2 1
287.877 3 2
287.918 2 1
288.262 3 2
288.659 2 1
288.813 1 0
289.324 2 1
289.347 1 0
289.664 0 0
290.023 1 0
290.353 0 0
292.056 1 0
292.89 0 0
294.668 1 0
295.1 0 0
296.144 1 0
296.798 0 0
296.96 1 0
297.69 2 1
297.893 1 0
299.198 2 1
300.366 1 0
301.153 0 0
306.141 1 0
306.296 2 1
307.485 1 0
307.656 2 1
308.331 1 0
308.454 0 0
308.899 1 0
308.914 2 1
310.347 1 0
310.486 0 0
314.774 1 0
315.032 0 0
315.459 1 0
316.556 0 0
319.585 1 0
320.894 0 0
321.254 1 0
321.264 0 0
321.329 1 0
321.876 2 1
323.513 1 0
323.666 0 0
324.013 1 0
324.856 0 0
328.366 1 0
328.588 0 0
329.525 1 0
331.006 0 0
334.44 1 0
334.504 0 0
335.615 1 0
336.714 0 0
337.101 1 0
337.244 2 1
337.668 3 2
337.878 2 1
337.922 1 0
338.068 0 0
338.561 1 0
338.634 2 1
340.164 3 2
340.606 2 1
341.325 3 2
342.374 2 1
342.594 1 0
344.762 0 0
346.051 1 0
346.144 0 0
348.298 1 0
348.431 0 0
354.001 1 0
