time njob nq
0 1 0
0.443717 2 1
1.30912 1 0
1.61915 0 0
1.77367 1 0
3.33622 0 0
5.86757 1 0
5.96296 0 0
14.051 1 0
14.1938 0 0
28.7212 1 0
28.7929 0 0
37.2263 1 0
37.5168 0 0
41.2749 1 0
41.8458 0 0
57.8549 1 0
58.276 0 0
62.9854 1 0
64.5428 0 0
66.4295 1 0
66.8315 0 0
77.4145 1 0
77.4907 0 0
90.6483 1 0
91.1128 0 0
99.9262 1 0
102.075 0 0
104.592 1 0
105.172 0 0
128.222 1 0
128.859 0 0
138.179 1 0
138.267 0 0
157.993 1 0
158.313 0 0
160.04 1 0
161.275 2 1
162.784 1 0
163.163 0 0
180.29 1 0
180.386 0 0
201.666 1 0
202.065 0 0
216.149 1 0
218.914 0 0
239.067 1 0
241.765 0 0
243.078 1 0
243.797 0 0
246.944 1 0
248.211 0 0
253.42 1 0
253.45 0 0
269.96 1 0
270.83 0 0
276.564 1 0
277.495 0 0
300.74 1 0
300.896 0 0
302.329 1 0
304.148 0 0
304.339 1 0
305.31 0 0
310.778 1 0
311.114 0 0
343.294 1 0
346.255 0 0
350.948 1 0
351.59 0 0
355.108 1 0
355.916 0 0
376.786 1 0
377.488 0 0
379.424 1 0
380.306 0 0
380.521 1 0
381.48 2 1
382.501 1 0
385.415 0 0
395.068 1 0
395.804 0 0
396.787 1 0
400.974 2 1
401.301 1 0
404.095 0 0
414.416 1 0
414.656 0 0
436.866 1 0
436.898 0 0
443.955 1 0
445.531 0 0
446.754 1 0
448.051 0 0
450.341 1 0
450.695 0 0
467.911 1 0
468.114 0 0
471.89 1 0
472.475 0 0
476.353 1 0
476.684 0 0
479.673 1 0
479.904 0 0
494.956 1 0
495.576 0 0
499.658 1 0
499.848 0 0
500.448 1 0
501.185 0 0
511.825 1 0
512.383 0 0
515.428 1 0
516.031 0 0
532.202 1 0
534.194 0 0
537.163 1 0
539.694 0 0
542.544 1 0
542.803 0 0
543.954 1 0
544.599 0 0
548.34 1 0
549.81 0 0
574.085 1 0
574.174 0 0
576.031 1 0
577.727 0 0
583.02 1 0
